,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
count,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0
mean,-232075304.5048644,276623659034.4929,-212176154.72051886,-248884987.1244104,-125557860.80291863,-349898595.5277123,-82415217.87116745,-546496618.9587264,-60548715.36873526,-242697006.58962265,-400535261.6282429,-153085548.2555277,-73086501.66258845,-474691333.962559,-544664608.1008254,-58298512.02970224,-216766061.4662441,-340743038.1957547,-639560629.375,-81757970.52306898,-411252435.2803656,-30367334.616701502,-258199693.4970519,-378317749.8169222,-189834997.08755895,-227986547.42113796,-325415633.1247052,-169036000.2135908,-108094532.98474352,-387085897.8885613,-187298157.3720519,-388697828.6149764,-55191539.691465214,-176592011.7942217,-273660171.3284198,-172720427.8512677,-375778157.2945165,-65792530.83276828,-381196605.1851415,-83267780.63981427,-77786652.16553655,-192524028.0543927,-497211159.5050118,-286839741.9864387,-571084037.5975826,-207800683.78758845,-267439339.7004717,-64878313.26412146,-386336467.7809552,-194022901.13693985,-377982601.1633255,-549151944.8643868,-548088829.373526,-395719933.1724646,-361721373.4607901,-289942560.1043632,-282766246.4991156,-136723846.87897995,-216472776.3173644,-91374499.6143868,-38288362.54038915,-212897451.43086675,-253147483.4551887,-20152478.54122936,-641086956.5566038,-193932380.463296,-447379728.3794222,-409357804.6606722,-767940905.9127358,-115085212.14961675,-344991073.203125,-351559668.6919222,-63788165.93455189,-39211164.88770637,-484021994.6244104,-311177493.9324882,-535484995.1727594,-110727575.54083137,-324061522.7871462,-81102374.86055425,-38820430.0139151,-543024957.5224056,-780456531.4150944,-334268964.8092571,-359963474.3561321,-159332909.71521226,-101690591.9555572,-83438473.80100235,-190658246.28817806,-136941055.16350973,-192499422.4771521,-237209702.629717,-205678430.7551592,-466867316.1264741,-218659340.3307783,-290057244.4174528,-35367814.959109664,-421909263.5857901,-379149229.1892689,-164582431.9041863
std,129738717.42570402,154632080770.92145,118592599.02839781,139111375.96001816,70010698.20768707,195581791.75075474,46470470.78636073,305355892.75555974,34043729.500812866,135627234.91612086,223859728.844702,85481885.32374439,40694486.35005865,265171503.91335952,304367333.6166186,32584379.26519921,121021764.42622264,190242550.56331602,357434170.57933956,45922002.424056716,229822708.59429175,17913607.251677394,144180607.6752384,211334554.75537416,106042367.5814814,127194362.79654126,181979691.21487555,94294365.9835804,60352976.417353064,216253484.5193808,104837477.5447031,217461667.8145739,31616198.67423802,98653439.5438694,152935609.45353818,96491823.89896761,209965975.65452933,36724009.75582918,212822153.00266594,46677846.47486422,43403425.298529126,107491650.73350546,277805803.4635206,160259751.7338961,319137420.3943543,116412037.63091302,149506534.18905973,41885098.72333157,215970320.86174923,108388495.44228826,211254665.27869782,306804061.8534758,306211232.16364205,221142082.28724363,202232087.87193108,162194195.27067736,157743248.7762066,76327635.49267824,121013119.64946698,54052498.13013124,21686254.07180405,118929813.52268143,141315614.46007958,11385116.87400634,358321290.6013821,108241972.88644187,249814496.165474,228634232.8413762,429375066.93963015,64278394.394690804,192881044.26159438,196506681.04595795,36108719.12968429,22399006.170505024,270488330.7402528,174062122.30037838,299070070.9026004,62061818.35985643,181025010.2013844,45555395.49867353,22402605.914813038,303468789.21830773,436160094.3682624,186850084.71871376,201122621.46853718,89297489.49604303,57373384.1356149,46883994.07996068,106796206.21412532,76819293.7533027,107490031.65749733,132730247.81624563,115061326.27870335,261056258.8810905,122313744.62248215,162254978.37317538,20187978.464185264,235647065.2280497,212134492.01373985,91864959.48635542
min,-1363456800.0,19959265000.0,-1245093000.0,-1460174200.0,-733851400.0,-2053206100.0,-488756670.0,-3204793900.0,-358586560.0,-1423152800.0,-2349449700.0,-896697860.0,-424537440.0,-2782203400.0,-3194022100.0,-342361400.0,-1268538500.0,-1995653400.0,-3751400000.0,-483641570.0,-2411890400.0,-184256100.0,-1511761300.0,-2216710000.0,-1112507100.0,-1333154600.0,-1912538900.0,-988628300.0,-634415940.0,-2269134600.0,-1103003100.0,-2284372500.0,-321521600.0,-1035868860.0,-1605361900.0,-1012776260.0,-2203308500.0,-384682560.0,-2232474000.0,-491536540.0,-455978660.0,-1126887800.0,-2916726500.0,-1681533300.0,-3349284600.0,-1224058100.0,-1569454700.0,-380048830.0,-2266878700.0,-1138320400.0,-2217459000.0,-3219494700.0,-3212889300.0,-2321887700.0,-2125516900.0,-1704900900.0,-1653443700.0,-801044160.0,-1270670600.0,-532240740.0,-227419460.0,-1247131100.0,-1481657500.0,-119797320.0,-3761149700.0,-1134018000.0,-2621010400.0,-2398478300.0,-4508545000.0,-676223900.0,-2027248500.0,-2065353700.0,-379671600.0,-234426160.0,-2841641200.0,-1828348000.0,-3137519600.0,-652607900.0,-1899558300.0,-479678200.0,-233492960.0,-3186072800.0,-4578700300.0,-1963950200.0,-2111396700.0,-939885200.0,-603223740.0,-493806240.0,-1123590300.0,-800527170.0,-1127544400.0,-1395841000.0,-1210123600.0,-2742514200.0,-1284783900.0,-1705907000.0,-211378510.0,-2474175000.0,-2229637600.0,-962193540.0
25%,-291543657.5,169815555000.0,-266529940.0,-312858830.0,-157731905.0,-439518250.0,-103834147.5,-686663370.0,-76180100.0,-304926550.0,-503396295.0,-192233300.0,-91683710.0,-596118687.5,-684355275.0,-73205988.0,-272205557.5,-427898385.0,-803779715.0,-103023975.0,-516774812.5,-38774735.0,-324090600.0,-474955187.5,-238367232.5,-286333230.0,-408920765.0,-212318950.0,-135711847.5,-486187802.5,-235669975.0,-488460462.5,-69385582.5,-221937275.0,-343967030.0,-216998805.0,-472083915.0,-82621635.0,-478722615.0,-104839155.5,-97671715.5,-241620197.5,-624729540.0,-360287632.5,-717622285.0,-261561260.0,-335964362.5,-81895572.5,-485571730.0,-243673552.5,-475105085.0,-689813250.0,-688398050.0,-497033375.0,-454457765.0,-364516060.0,-355124545.0,-171727170.0,-272005267.5,-114964640.0,-48133296.0,-267294300.0,-318012935.0,-25360765.0,-805713550.0,-243742937.5,-561753775.0,-513900932.5,-964701987.5,-144580080.0,-433446882.5,-441594645.0,-80337935.0,-49501556.0,-607619200.0,-390949982.5,-672248990.0,-139437497.5,-407001802.5,-102179650.0,-49190426.5,-682024515.0,-980770220.0,-419913300.0,-452366335.0,-200599412.5,-128152120.0,-105098364.0,-239914407.5,-172144557.5,-241663520.0,-298268860.0,-258584087.5,-586423230.0,-274721320.0,-364731420.0,-44606004.0,-530119957.5,-476707780.0,-206708475.0
50%,-219866950.0,262012575000.0,-200905980.0,-235852385.0,-118977008.0,-331301780.0,-78299712.0,-518406255.0,-57488995.0,-229966750.0,-379862600.0,-145173240.0,-69093320.0,-450315465.0,-516663880.0,-55215248.0,-205469055.0,-323091620.0,-606824990.0,-77555430.0,-390146560.0,-29169813.0,-244777420.0,-358805525.0,-180065520.0,-216112870.0,-308270880.0,-160167970.0,-102353195.0,-367094960.0,-177406395.0,-368189710.0,-52272156.0,-167266050.0,-259448095.0,-163654275.0,-356406540.0,-62318520.0,-361432260.0,-78899490.0,-73726615.0,-182525480.0,-471179780.0,-272034450.0,-541779150.0,-196808050.0,-253244430.0,-61751038.0,-365892100.0,-183750200.0,-358262830.0,-520841775.0,-519773270.0,-374790940.0,-342644015.0,-274669300.0,-268033780.0,-129657045.0,-205027000.0,-86631433.0,-36358578.0,-201907790.0,-239988340.0,-19129487.0,-607591265.0,-183778980.0,-424290840.0,-388277490.0,-727400545.0,-108981160.0,-326760185.0,-333052895.0,-60588600.0,-37330375.0,-458522050.0,-294788305.0,-507917150.0,-104928440.0,-307380020.0,-76919940.0,-37080174.0,-514649180.0,-739369685.0,-316651475.0,-341166945.0,-150914440.0,-96637360.0,-79176448.0,-180654460.0,-129821760.0,-182546825.0,-224706360.0,-194829955.0,-442305920.0,-207116240.0,-274831200.0,-33631298.0,-400013055.0,-359151610.0,-155997565.0
75%,-142542340.0,347533677500.0,-130314230.5,-152825110.0,-77760219.0,-214893092.5,-50232016.0,-335878305.0,-37027424.0,-149159520.0,-246006555.0,-94313710.0,-45365876.0,-291709427.5,-334762850.0,-35792144.0,-133861456.0,-209894065.0,-392852525.0,-49954372.5,-252769055.0,-18178782.0,-159000725.0,-232742792.5,-116699109.0,-141263460.0,-199705975.0,-104719995.5,-66480017.5,-237912525.0,-114556655.0,-238515280.0,-34344178.5,-108416335.0,-168020712.5,-106148390.0,-230927000.0,-40627198.5,-234801965.0,-50919489.0,-47888333.0,-118595967.5,-305646557.5,-176301252.5,-350959217.5,-126916227.5,-164262665.0,-40461258.5,-237256442.5,-119306296.0,-232084152.5,-337432595.0,-336866075.0,-243013802.5,-222016940.0,-177590870.0,-175201882.5,-84253000.0,-132878024.0,-56874964.0,-23309496.5,-131084896.5,-156350707.5,-12280963.75,-393650117.5,-119827083.5,-275607210.0,-252073190.0,-471472465.0,-70714682.5,-211899815.0,-215894222.5,-38837824.0,-23722537.5,-297139022.5,-190980970.0,-329550467.5,-67605387.5,-199165447.5,-49579977.0,-23252316.5,-333650660.0,-479216745.0,-205283552.5,-221254727.5,-97352695.0,-61911244.0,-51032314.0,-116499564.0,-84985260.0,-118503844.0,-145130390.0,-125942440.0,-286569507.5,-134204512.5,-177676475.0,-21455254.0,-259316110.0,-232311932.5,-101671092.0
max,-16762183.0,1623500800000.0,-15307220.0,-17951438.0,-9022018.0,-25242122.0,-4124855.0,-39399760.0,-4408240.5,-17496348.0,-28884190.0,-6094485.5,-5219330.0,-34204484.0,-39267380.0,-4209004.5,-14473710.0,-24534536.0,-46119716.0,-5945667.5,-29651830.0,72778210.0,-18585756.0,-27252346.0,-13677241.0,-13014812.0,-23512502.0,-12154178.0,-7799371.5,-27896804.0,-13560083.0,-27151042.0,523667230.0,-12734991.0,-19736340.0,-12451142.0,-27087554.0,-4725840.0,-27446040.0,-6042764.5,-5605728.5,-13854092.0,-35858084.0,-20672864.0,-41176130.0,-13714932.0,-18971922.0,1267046100.0,-27822606.0,-13994423.0,-27261460.0,-39580516.0,-39499350.0,-28545258.0,-26130828.0,-20959822.0,-20327464.0,-9848001.0,-15462773.0,1179890300.0,-2795664.5,-15332379.0,-8380302.0,-1472710.9,-46239588.0,-13941775.0,-32222648.0,-29486932.0,-55427956.0,-8313297.0,-24922730.0,-25391176.0,-4667456.0,-2137619.2,-34934864.0,-21981788.0,-38572716.0,-6824188.5,-23353212.0,-5896919.0,-1746104.9,-39169450.0,-56290450.0,-24144530.0,-25957452.0,-11554681.0,-4233973.5,-6070601.0,-13813186.0,512110620.0,-13862127.0,-17160246.0,-14877039.0,-33716256.0,-15242261.0,-20972154.0,-2598484.5,-30417366.0,-27410954.0,-10538937.0
