,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
count,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0
mean,-96823081.71661262,277206544822.52356,-19717411.491583135,-50770811.857458726,-45898699.932060726,-52964116.36286852,-126168746.99292453,-53876877.4781987,-33628706.99345519,-21997725.511438675,-168396870.1673054,-99102699.6614092,-119014711.10554245,-161206347.8829599,-29101073.13632075,-31127850.222022407,-55471474.68466981,-43678415.203567214,-169883712.0337559,-27488132.869428065,-62499150.63620283,-312480263.0294811,-15168516.03932783,-54271149.28287146,-223309542.5732606,-71817723.05100235,-47857479.86465212,-39005342.602225825,-36971690.31391509,-28949149.262986436,-17896890.88749263,-22431232.451468162,-77535208.6717276,-117456334.05144458,-49895806.831633255,-21513093.84313679,-67246130.75397995,-182203401.95386204,-137817.71069209906,-153927768.0162146,-7657835.879852594,-120254810.31176297,-135143478.76135024,-47193284.83245873,-43429404.486556605,-82350882.22803655,-90423660.5076651,-6771711.404043337,-12149922.106674528,-30940307.331677478,-30249333.40710495,-85293943.43352005,-58065142.653523,-30759797.34663915,-35949277.54460496,-187514880.1167453,-57841770.00545401,-68374617.0804835,-37291894.76357606,-67534246.4503243,-27324938.455085494,-61447852.04215802,-31592407.1718013,-53272439.19543042,-29699411.200442214,-23471367.80838738,-27379186.3906987,-40074557.51901533,-80232579.18344635,-22734301.95390625,-55933945.78850236,-26974778.10601415,-40293638.119369105,-35636049.10190154,-124970101.56692217,-19330234.46606722,-80445506.91885318,-99798481.35229953,-86533710.67025355,-40875389.647464626,-40055892.910819575,-30787249.199041862,-63068943.744103774,-104314060.45798938,-76875855.21816038,-153369389.96432784,-17329946.58415389,-27656075.978508256,-39116365.825714916,-4058425.464568102,-61303852.08520047,-261598470.8310731,-75112430.32642983,-34692953.16177771,-71332996.91745283,-102790007.38399175,-66499026.65742925,-58870269.30490861,-75282945.31331073,-22316399.004554834
std,54090107.50039821,154869249654.04944,10983104.330516204,28352449.20452917,25631766.300708666,29569433.37798562,70518050.36432199,30138018.597254634,18769253.010325726,12274664.741018102,94106229.07737848,55383544.94389591,66472023.6623495,90043286.68427463,16265238.285744343,17383558.157165654,30991258.537480254,24435459.484205734,94943940.98092993,15328067.274794923,34927078.2987107,174574518.46006566,8456539.825179793,30365110.862270698,124728302.8126173,40118220.85649739,26765320.083597608,21844474.96171014,20626193.13603301,16180715.961054064,10446303.439791372,12564240.20325333,43311040.50097613,65557877.247739196,27840523.8663547,12644456.639483936,37515902.86744448,101813264.58709605,2196447.8675851775,85975343.8664151,19878277.227961365,67210260.65574102,75523517.12104584,26342982.76421556,24297129.196455013,46013484.106520824,50471620.865561955,4042996.092663557,7038063.280302623,17316754.182209108,16872491.50743416,47607824.57351301,32445480.66172055,17176268.17682307,20033082.669118762,104744165.92919202,32368707.624159887,38239702.425099105,20822956.44450531,37688448.72874218,15273983.896075338,34288412.60247089,17678730.63845688,29768077.7725898,16559250.384531291,13133613.254821002,15331483.488496706,22376971.572710127,44855218.91467957,12725477.33672195,31234498.089650474,15073941.617860852,22459038.98009808,19895637.281232227,69804432.4336841,10782933.13550416,44910962.53657649,55696181.84389034,48330439.57732906,22831608.06231494,22353606.080983765,17225412.608030878,35180960.14600109,58241018.166816816,42887505.63605753,85637561.81284344,9643326.202068945,15407613.36435212,21914388.107487094,2277523.481708026,34265093.104095586,146134582.47572896,41900409.965490475,19338316.7915968,39765262.5937261,57384386.860474184,37132478.60295896,32880950.018840324,42102915.60900334,12487098.527189827
min,-567945000.0,19991525000.0,-115263890.0,-297706780.0,-269138460.0,-310487040.0,-740400500.0,-316387600.0,-197081700.0,-128884500.0,-988083460.0,-581505340.0,-697965100.0,-945464060.0,-170772340.0,-182530780.0,-325408030.0,-256515600.0,-996870140.0,-160933810.0,-366723800.0,-1833025300.0,-88785816.0,-318755550.0,-1309662800.0,-421242300.0,-280991970.0,-229256620.0,-216571870.0,-169885620.0,-105601960.0,-131851750.0,-454767740.0,-688371500.0,-292324350.0,-126976300.0,-393910880.0,-1069013060.0,-1736775.6,-902751500.0,-50331188.0,-705674430.0,-792970050.0,-276609100.0,-255061890.0,-483133340.0,-529964060.0,-39995836.0,-71645990.0,-181771500.0,-177154200.0,-499891360.0,-340671330.0,-180354700.0,-210278620.0,-1099820900.0,-339777150.0,-401454850.0,-218645890.0,-395734980.0,-160362450.0,-360031680.0,-185572100.0,-312554900.0,-173854200.0,-137862850.0,-160904000.0,-234963250.0,-470936600.0,-133570520.0,-327969060.0,-158269680.0,-235776600.0,-208908690.0,-732953300.0,-113218760.0,-471576860.0,-584818940.0,-507475870.0,-239733920.0,-234717000.0,-180831470.0,-369390300.0,-611546500.0,-450314080.0,-899214850.0,-101084320.0,-161723150.0,-229975740.0,-23362478.0,-359763800.0,-1534417300.0,-439941980.0,-203021780.0,-417467600.0,-602550200.0,-389899550.0,-345254050.0,-442012320.0,-131078056.0
25%,-121576585.0,170410160000.0,-24788808.5,-63806253.0,-57683422.0,-66550288.0,-158493037.5,-67697812.5,-42249403.0,-27629663.5,-211513040.0,-124479390.0,-149592387.5,-202567820.0,-36556094.0,-39120846.0,-69679757.0,-54884763.0,-213394112.5,-34541201.5,-78502742.5,-392384987.5,-19056268.5,-68186776.0,-280609365.0,-90182209.0,-60124533.0,-49021070.5,-46440493.0,-36366157.5,-22578583.0,-28193151.5,-97382780.0,-147571595.0,-62684553.5,-27148259.0,-84467768.5,-228837442.5,-366680.3,-193424410.0,-10738076.0,-151059457.5,-169746195.0,-59298037.0,-54566123.5,-103421474.5,-113612320.5,-8551074.25,-15318208.25,-38871041.0,-37987837.5,-107165520.0,-72925972.0,-38654015.0,-45196386.5,-235579870.0,-72673510.0,-85900254.5,-46861527.5,-84836100.0,-34327491.0,-77182116.0,-39685582.0,-66906320.0,-37314643.5,-29483227.5,-34405237.5,-50358441.0,-100810585.0,-28560704.5,-70292460.0,-33879379.0,-50627458.0,-44774483.0,-157001012.5,-24277622.0,-101095301.5,-125371993.0,-108732027.5,-51351483.0,-50317500.0,-38693199.0,-79209587.0,-131070096.5,-96562375.0,-192725545.0,-21776004.0,-34759602.0,-49175253.0,-5074586.0,-77012486.5,-328568150.0,-94338733.5,-43594179.0,-89641772.5,-129173252.5,-83565600.0,-73971835.0,-94577953.5,-28035686.5
50%,-91748010.0,262690200000.0,-18672541.0,-48119576.0,-43501888.0,-50209722.0,-119512670.0,-51043734.0,-31892098.0,-20864184.0,-159515460.0,-93878455.0,-112783607.0,-152777025.0,-27565435.0,-29502970.0,-52568196.0,-41373352.0,-160911695.0,-26053902.0,-59218903.0,-296114270.0,-14373688.0,-51407802.0,-211627505.0,-68048925.0,-45333418.0,-36957322.0,-35059550.0,-27422131.0,-17008539.0,-21254170.0,-73464665.0,-111416528.0,-47322670.0,-20449356.0,-63767665.0,-172624600.0,-275019.5,-145875000.0,-8079578.25,-113907455.0,-128012250.0,-44748558.0,-41136730.0,-78039238.0,-85765410.0,-6440781.5,-11541907.0,-29315309.0,-28678319.0,-80909640.0,-55032393.0,-29150967.0,-34048420.0,-177669390.0,-54798101.0,-64768224.0,-35352437.0,-64051497.0,-25880123.0,-58275967.0,-29928109.0,-50477545.0,-28146024.0,-22237369.0,-25946224.0,-37977740.0,-76002990.0,-21538927.0,-53011072.0,-25546877.0,-38170654.0,-33788204.0,-118403915.0,-18327905.0,-76271795.0,-94655907.0,-82009110.0,-38727435.0,-37989952.0,-29171928.0,-59798005.0,-98879632.0,-72898040.0,-145392370.0,-16407036.5,-26191456.0,-37067796.0,-3820428.8,-58069268.0,-247875825.0,-71219343.0,-32867734.0,-67585780.0,-97467815.0,-63021031.0,-55789153.0,-71310948.0,-21139576.0
75%,-59521228.0,348094320000.0,-12179182.5,-31213820.0,-28218406.5,-32614787.5,-77448623.0,-33082953.5,-20725658.0,-13553883.75,-103422530.0,-60863187.0,-73173089.5,-99120720.0,-17868756.0,-19137755.0,-34095600.5,-26817060.5,-104334241.0,-16949319.0,-38388226.0,-192099835.0,-9363242.75,-33323835.5,-137302465.0,-44148086.0,-29391175.0,-23935325.5,-22774255.0,-17775396.5,-10984317.75,-13765602.75,-47663211.5,-72385372.5,-30738491.0,-13205490.75,-41425273.0,-111948660.0,-173634.4,-94642675.0,-5174224.0,-73814689.0,-82998225.0,-29076585.5,-26665044.5,-50596742.0,-55725521.0,-4157135.0999999996,-7452298.625,-19002771.5,-18630554.5,-52562797.0,-35669431.0,-18909498.0,-22211807.0,-115270858.5,-35521667.5,-41991427.5,-22948837.0,-41616947.0,-16773273.25,-37862338.5,-19400077.0,-32730754.0,-18322613.0,-14412363.0,-16798660.0,-24657394.5,-49258930.0,-13962812.75,-34386865.0,-16573296.25,-24866558.5,-21939961.5,-76838084.0,-11907394.75,-49526150.5,-61500195.0,-53202243.5,-25131579.0,-24685956.0,-18905634.0,-38846380.0,-64228540.0,-47356712.5,-94378263.5,-10741779.5,-17087629.5,-24011100.0,-2501698.0999999996,-37630617.0,-160820240.0,-46265416.5,-21423337.5,-44014000.5,-63311446.0,-40903960.5,-36195556.5,-46233282.5,-13703128.5
max,-6981970.0,1626120500000.0,-1416869.8,-3659769.8,-3308411.5,-3816770.5,-9102079.0,-3560969.5,-2422415.8,-1584249.9,-12147248.0,-7148745.0,-8580259.0,-11623222.0,-2099032.2,-2243646.8,-4001225.5,-2823968.5,-12255213.0,-1977878.4,-4508861.5,-22534930.0,-1091240.1,-3444295.2,-16100458.0,-5178406.5,-3283344.2,-1298305.9,-2662429.8,-2088143.1,157517820.0,-352443.5,-5590366.5,-8462451.0,-3593636.5,204247170.0,-4842219.5,-13142167.0,49803170.0,-11098006.0,648682200.0,-8675306.0,-9748429.0,-3400297.2,-2793587.8,-5939442.0,-6514973.5,73795870.0,97253950.0,-1883528.0,-2177656.0,-6145089.0,-4188595.0,-2216707.5,-2585080.2,-13520824.0,-3576857.5,-4692850.0,-2687784.0,-4864469.5,-1971028.6,-4425698.5,-1930636.1,-3841917.8,-2137106.0,-1436480.0,-932102.4,-2888181.8,-5789376.0,-1329662.0,-4031902.8,-1945217.9,-2897876.5,-2567932.5,-9010497.0,-1391471.4,-5797026.0,-7189297.0,-6238263.0,-2947059.5,-2884996.0,-2048227.5,-4540617.0,-7517656.0,-5535376.5,-11054365.0,-1242324.2,-1987539.5,-716339.75,-287096.3,-4422879.5,-18863534.0,-5408125.5,-2495323.8,-5131537.0,-7407231.0,-4792952.0,-4244236.5,-5156717.0,-1379766.5
