,age,fnlwgt,education-num,race,sex,capital-gain,capital-loss,hours-per-week,workclass=Federal-gov,workclass=Local-gov,workclass=Private,workclass=Self-emp-inc,workclass=Self-emp-not-inc,workclass=State-gov,workclass=Without-pay,education=10th,education=11th,education=12th,education=1st-4th,education=5th-6th,education=7th-8th,education=9th,education=Assoc-acdm,education=Assoc-voc,education=Bachelors,education=Doctorate,education=HS-grad,education=Masters,education=Preschool,education=Prof-school,education=Some-college,marital-status=Divorced,marital-status=Married-AF-spouse,marital-status=Married-civ-spouse,marital-status=Married-spouse-absent,marital-status=Never-married,marital-status=Separated,marital-status=Widowed,occupation=Adm-clerical,occupation=Armed-Forces,occupation=Craft-repair,occupation=Exec-managerial,occupation=Farming-fishing,occupation=Handlers-cleaners,occupation=Machine-op-inspct,occupation=Other-service,occupation=Priv-house-serv,occupation=Prof-specialty,occupation=Protective-serv,occupation=Sales,occupation=Tech-support,occupation=Transport-moving,relationship=Husband,relationship=Not-in-family,relationship=Other-relative,relationship=Own-child,relationship=Unmarried,relationship=Wife,native-country=Cambodia,native-country=Canada,native-country=China,native-country=Columbia,native-country=Cuba,native-country=Dominican-Republic,native-country=Ecuador,native-country=El-Salvador,native-country=England,native-country=France,native-country=Germany,native-country=Greece,native-country=Guatemala,native-country=Haiti,native-country=Holand-Netherlands,native-country=Honduras,native-country=Hong,native-country=Hungary,native-country=India,native-country=Iran,native-country=Ireland,native-country=Italy,native-country=Jamaica,native-country=Japan,native-country=Laos,native-country=Mexico,native-country=Nicaragua,native-country=Outlying-US(Guam-USVI-etc),native-country=Peru,native-country=Philippines,native-country=Poland,native-country=Portugal,native-country=Puerto-Rico,native-country=Scotland,native-country=South,native-country=Taiwan,native-country=Thailand,native-country=Trinadad&Tobago,native-country=United-States,native-country=Vietnam,native-country=Yugoslavia,income-per-year
count,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0
mean,2683.544516509434,276253994241.3184,152.9081662735849,0.8570165094339622,0.6782134433962265,106978617.703125,332427.4189268868,3269.395341981132,0.0294811320754717,0.06589033018867925,0.7449882075471698,0.03567216981132076,0.08033608490566038,0.04289504716981132,0.0007370283018867925,0.026238207547169812,0.03449292452830189,0.013413915094339623,0.006780660377358491,0.011497641509433961,0.01857311320754717,0.014003537735849057,0.03508254716981132,0.044369103773584904,0.1647995283018868,0.012382075471698114,0.31721698113207547,0.05778301886792453,0.0019162735849056604,0.019752358490566037,0.22169811320754718,0.13620283018867924,0.000884433962264151,0.4740566037735849,0.011497641509433961,0.3191332547169811,0.03125,0.026975235849056603,0.11232311320754718,0.00029481132075471697,0.1381191037735849,0.13870872641509435,0.03242924528301887,0.05129716981132076,0.06633254716981132,0.10288915094339622,0.003979952830188679,0.1328125,0.020784198113207548,0.11674528301886793,0.032134433962264154,0.0511497641509434,0.4212853773584906,0.24660966981132076,0.03331367924528302,0.14489976415094338,0.10804834905660378,0.04584316037735849,0.0004422169811320755,0.0025058962264150942,0.001768867924528302,0.001768867924528302,0.0030955188679245285,0.0023584905660377358,0.0013266509433962263,0.004274764150943396,0.0023584905660377358,0.000884433962264151,0.00486438679245283,0.000884433962264151,0.002063679245283019,0.0007370283018867925,0.0,0.0007370283018867925,0.0013266509433962263,0.0,0.00486438679245283,0.0010318396226415094,0.0007370283018867925,0.0,0.003242924528301887,0.0019162735849056604,0.0,0.02122641509433962,0.0013266509433962263,0.000884433962264151,0.0011792452830188679,0.006485849056603774,0.0013266509433962263,0.0013266509433962263,0.0023584905660377358,0.00029481132075471697,0.0022110849056603773,0.0013266509433962263,0.00029481132075471697,0.0010318396226415094,0.9081662735849056,0.0022110849056603773,0.0,0.25515919811320753
std,868.609578643626,154369042187.6932,39.08417108303425,0.350081815620338,0.46719604358583977,709589787.4870546,1494715.4443685377,1034.1468007198062,0.1691632735519521,0.24810858218645274,0.4358999730826802,0.18548514109042263,0.2718328358155287,0.2026354232083939,0.027140259196353576,0.15985471762496156,0.1825049930391144,0.11504752508259408,0.08207116362620544,0.10661670285269717,0.13502162790581584,0.11751371946033651,0.18400204545298895,0.2059289620161385,0.3710268666478324,0.11059187371980922,0.4654270075603891,0.23334988355737324,0.04373652307056048,0.13915838941182163,0.4154196650595811,0.3430291012562387,0.029728471425585355,0.49936329241624233,0.10661670285269717,0.4661751329049583,0.17400546150606247,0.16202296785056317,0.31578684414578134,0.017168804777577366,0.34505038332097243,0.3456678008982415,0.1771502617823514,0.2206194570935373,0.2488808367646679,0.30383643880912337,0.06296584172764405,0.33939699401861556,0.14267170601072338,0.3211401936980354,0.17637005804624575,0.2203193612475561,0.4938015305479445,0.4310692886236789,0.17946761756421284,0.35202569411529544,0.31046434815606566,0.20916025848336528,0.02102585530578041,0.04999985222468351,0.04202379503441064,0.04202379503441064,0.055555302019269476,0.0485105655949226,0.036401734380200786,0.06524659428427651,0.0485105655949226,0.02972847142558535,0.06958044401252168,0.029728471425585355,0.04538418323871246,0.02714025919635358,0.0,0.027140259196353576,0.036401734380200786,0.0,0.06958044401252168,0.032108050300419695,0.027140259196353576,0.0,0.05685846035800104,0.04373652307056048,0.0,0.1441489414689295,0.036401734380200786,0.029728471425585358,0.03432241704225627,0.08027909322304502,0.036401734380200786,0.036401734380200786,0.0485105655949226,0.017168804777577366,0.046973623055117174,0.036401734380200786,0.017168804777577366,0.032108050300419695,0.2888123761121009,0.046973623055117174,0.0,0.435982798682325
min,1258.0,19926456228.0,16.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1988.0,169736619208.0,136.0,1.0,0.0,0.0,0.0,3039.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50%,2572.0,261733218528.0001,151.0,1.0,1.0,0.0,0.0,3039.0000000000005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
75%,3302.0,346963363846.0001,196.0,1.0,1.0,0.0,0.0,3823.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
max,6587.0,1620837128816.0002,241.0,1.0,1.0,9999800001.0,11325080.000000002,9703.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
