,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
count,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0
mean,-37641312.24548939,276031768493.21936,-14656460.52737323,-200601937.22508845,-145119639.5969929,-151592046.63089624,-22813013.694943987,-258740032.6751179,-41243637.24428066,-66348591.95209316,-203976614.0934552,-213937126.43912145,-31421311.80885908,-185950051.2495578,-124628145.88074882,-218622152.4115566,-50849259.97284788,-46803677.55829894,-135699561.0753243,-159921921.93116155,-8912342.842959905,-166023196.93410966,-133142815.20931605,-118493465.71137972,-41670855.29551887,-325719826.9180425,-18302681.06693691,-327388772.7629717,-82916580.42025355,-88899411.92592865,-155119641.411704,-34011463.682738796,-173848155.53316626,-10271760.773253243,-69632107.68057193,-310663237.0931604,-82638067.7136645,-224403465.65757665,-36665694.246948704,-80258980.13900355,-224466265.098467,-65235071.35104658,-197913519.39165685,-343364812.6123231,-114850349.29075767,-235632585.27977595,-126423549.40285967,-562441111.7830188,-114585254.8721256,-260328871.8540684,-273797822.6541863,-176404538.6587559,-361370300.4162736,-387817278.4478184,-30418872.422862615,-45700209.772390924,-215555910.37839034,-19588511.660760615,-307716465.0200472,-31676167.97299528,-163649400.0862323,-168639196.24852595,-90675997.75825472,-174765309.22538325,-5996535.664075766,-43625304.78091097,-49213989.86849941,-146266264.58726415,-143205997.2166863,-237078383.3307783,-55483563.00209316,-182271971.94398585,-26753673.532370284,-438154729.8502358,-75315848.99063975,-14618862.982090212,-269877391.431309,-366942727.5810731,-212021780.75619105,-88348619.56869105,-299371320.6695165,-65057300.052697524,-428820012.7850825,-51981755.49507665,-253700631.2603184,-172221098.90801886,-72635284.0055277,-386715701.8658608,-349285802.2455778,-190440252.7760908,-343254464.5834316,-41486631.927771226,-192865503.5698703,-213465010.63399175,-6017931.069582842,-262366093.19929245,-199222625.76488796,-23248815.242777124,-596212841.3596698,-227828595.0806309
std,23189404.97042651,154245235896.96964,8193263.070776407,112018090.22908556,81105475.22862263,84670955.77436593,12748383.924878843,144583444.72533068,22978393.29701196,36974140.58897633,113930621.30991367,119531567.27047288,17593976.02772446,103917931.43737379,69614093.38430269,122150245.51564817,28396265.47229446,26086417.548154812,75801140.59527755,89283179.46780628,28674380.90393162,92786777.55489141,74357581.34225707,66216347.51370454,23325616.778945003,182014527.2404352,10215819.961534344,182843072.91125068,46308923.651525326,49592166.79721097,86594291.4621254,19010423.065077316,97064774.20543072,5736024.802992194,38835145.760391966,173537923.56784463,46156994.87881261,125368716.9351129,20515591.65374966,44929079.75317374,125460062.6063245,36357420.98831701,110594289.65883482,191847387.57395998,64204049.745420635,131694034.3921934,70578773.64298996,314304574.06840557,63996959.90985712,145448417.8141834,153076888.91252512,98581039.77705935,201830469.00788,216657821.1228692,16989203.777438015,25441040.484689213,120535866.05979933,10900690.871848145,171966238.66603208,17683740.55395976,91458375.5983967,94248777.97429228,50755315.644607864,97593153.67448986,12866221.135824041,24312405.18189261,27489981.59308104,81796963.0528177,79949495.88496365,132385116.51970702,31051890.0105853,101816381.41523439,15475945.6463162,244804685.9252216,42047762.22058318,8167131.3929455755,150784667.55195722,205064077.11257783,118468934.57233052,49234294.459307194,167253165.62552863,36344174.08246019,239687660.20732018,29062907.51847423,141708642.51013213,96245376.71394956,40648096.14241095,216090820.66107017,195195106.89425275,106427289.6553901,191785422.52225384,23134522.02909027,107779603.33496241,119298139.26782948,3365799.4594536307,146619757.31381696,111316669.79782501,12977908.158924386,333178316.4323588,127321288.24695687
min,-222680460.0,19910519000.0,-86023330.0,-1176214900.0,-851569540.0,-889055800.0,-133855200.0,-1518089000.0,-241213000.0,-388112830.0,-1196285000.0,-1255069300.0,-184663650.0,-1091104600.0,-730955140.0,-1282557700.0,-298166700.0,-273859040.0,-795914700.0,-937496300.0,-60738180.0,-974217800.0,-780768600.0,-695253900.0,-244842740.0,-1911097600.0,-107269190.0,-1919882800.0,-486252300.0,-520707230.0,-909262850.0,-199604770.0,-1019203800.0,-60225956.0,-407746050.0,-1822158500.0,-484652030.0,-1316368000.0,-215359310.0,-471572600.0,-1317265700.0,-381671650.0,-1161215400.0,-2014376600.0,-674090240.0,-1382726500.0,-741094200.0,-3300110300.0,-671977000.0,-1527196700.0,-1607161900.0,-1035072960.0,-2119250700.0,-2274903300.0,-178388350.0,-266886820.0,-1265475300.0,-113752184.0,-1805590800.0,-185682220.0,-960268900.0,-989567400.0,-532749300.0,-1024749100.0,-38490700.0,-255206560.0,-288646720.0,-858751800.0,-839487740.0,-1390073200.0,-325949300.0,-1069080300.0,-157810850.0,-2570421800.0,-441513570.0,-85747800.0,-1583221200.0,-2153107000.0,-1243897500.0,-516785380.0,-1756149200.0,-381610900.0,-2516580900.0,-305125540.0,-1487954000.0,-1010529200.0,-426678560.0,-2268903200.0,-2049484300.0,-1117443600.0,-2013722500.0,-242893400.0,-1131641900.0,-1252573200.0,-35338250.0,-1539462500.0,-1168795500.0,-136271340.0,-3498272000.0,-1336832600.0
25%,-47610100.0,169600985000.0,-18414236.0,-252094725.0,-182290257.5,-190490190.0,-28653508.0,-324968487.5,-51805278.0,-83419763.0,-256317660.0,-268665242.5,-39486044.0,-233566520.0,-156607837.5,-274550010.0,-63905209.0,-58804940.0,-170444947.5,-200967207.5,-12953738.25,-208545065.0,-167339847.5,-148828740.0,-52357899.0,-409097660.0,-22995962.5,-411482887.5,-104217022.5,-111658009.5,-194926602.5,-42728381.0,-218455420.0,-12892143.5,-87515738.0,-390311687.5,-103810510.0,-281787247.5,-46067677.5,-100834830.0,-281979362.5,-81971472.0,-248574710.0,-431206125.0,-144298422.5,-295992292.5,-158875155.0,-706435980.0,-144022830.0,-326918215.0,-344035945.0,-221572302.5,-454213302.5,-486975852.5,-38221917.5,-57456084.0,-270865015.0,-24570645.0,-386512670.0,-39806246.0,-205559110.0,-211831157.5,-113915980.0,-219631310.0,-8214810.125,-54842585.5,-61824603.5,-183794257.5,-179968622.5,-297929960.0,-69707152.5,-229021822.5,-33741552.5,-550235600.0,-94636932.5,-18355406.0,-338911065.0,-460903427.5,-266274050.0,-111076407.5,-375928647.5,-81689528.0,-538710137.5,-65311260.0,-318775387.5,-216317892.5,-91244605.0,-485690855.0,-438721370.0,-239204655.0,-431065902.5,-52132861.5,-242244017.5,-268130477.5,-7561415.25,-329544050.0,-250197072.5,-29213370.0,-748855075.0,-286168207.5
50%,-35854768.0,261528000000.0,-13884800.0,-190117730.0,-137457035.0,-143662185.0,-21616762.0,-245141340.0,-39063107.0,-62836484.0,-193307330.0,-202749155.0,-29769120.0,-176179785.0,-118114820.0,-207189460.0,-48210134.0,-44343363.0,-128575220.0,-151620265.0,-9747134.5,-157254680.0,-126199650.0,-112269700.0,-39482624.0,-308631375.0,-17353400.0,-310261020.0,-78595395.0,-84294250.0,-147081615.0,-32232594.0,-164815630.0,-9737731.0,-66007790.0,-294359100.0,-78314670.0,-212651525.0,-34732365.0,-76032400.0,-212589940.0,-61791654.0,-187546920.0,-325410660.0,-108808975.0,-223194795.0,-119879060.0,-532903105.0,-108584605.0,-246709790.0,-259328745.0,-167144085.0,-342449760.0,-367497280.0,-28825874.0,-43280974.0,-204187970.0,-18493343.0,-291567510.0,-30051349.0,-155003060.0,-159732410.0,-85909400.0,-165635375.0,-6181322.75,-41317430.0,-46629200.0,-138556210.0,-135809955.0,-224684505.0,-52568166.0,-172703780.0,-25412381.0,-415236475.0,-71399725.0,-13856031.0,-255759920.0,-347680930.0,-200910125.0,-83682662.0,-283695460.0,-61657842.0,-406144250.0,-49234626.0,-240437955.0,-163115600.0,-68813264.0,-366395625.0,-330917885.0,-180416625.0,-325305070.0,-39323810.0,-182737610.0,-202185350.0,-5703093.5,-248592980.0,-188811520.0,-22045357.0,-564901930.0,-215872340.0
75%,-23146301.0,346685197500.0,-8997854.5,-123399500.0,-89126898.5,-93202180.0,-14012571.5,-158976587.5,-25484695.0,-40988767.5,-125404134.0,-131454995.0,-19290325.5,-114209338.0,-76610577.5,-134320470.0,-31262278.0,-28903079.5,-83419040.0,-98446570.0,-6239721.125,-101963531.5,-81862252.5,-72807998.5,-25591121.0,-200042450.0,-11279532.25,-201296270.0,-50977916.0,-54760227.5,-95553672.5,-20903173.5,-106995461.0,-6309094.875,-42886402.0,-190978850.0,-50802428.0,-137918990.0,-22514622.5,-49265804.0,-137787040.0,-40261913.5,-121566820.0,-210983210.0,-70498968.5,-144719132.5,-77862470.0,-345556095.0,-70448979.0,-159973572.5,-168065995.0,-108349387.5,-222179065.0,-238396877.5,-18702081.0,-28295576.0,-132334585.0,-12141566.5,-188999077.5,-19519427.0,-100539610.0,-103571082.5,-55696000.0,-107442984.0,-3962560.1499999994,-26951128.0,-30252668.0,-89802305.0,-88147305.0,-145746410.0,-34076140.0,-112049280.0,-16419229.5,-269217435.0,-46379304.0,-8968959.25,-165817592.5,-225374677.5,-130264544.0,-54592833.5,-184040200.0,-39984635.0,-263230097.5,-31915587.5,-155994815.0,-105763737.5,-44606810.0,-237604235.0,-214524930.0,-116958102.5,-210904652.5,-25566312.0,-118507252.5,-131096504.5,-3695701.1000000006,-161143675.0,-122397745.0,-14319465.5,-366181890.0,-139932140.0
max,499084400.0,1619536900000.0,-1057562.4,-14460185.0,-10469006.0,-10929974.0,-1645606.4,-18663244.0,-2965182.0,-4771402.0,-14707042.0,-15429781.0,-1757584.5,-13414046.0,-8986349.0,-15767495.0,-3665753.5,-3366649.8,-9784795.0,-11525417.0,889013900.0,-11976797.0,-9598829.0,-8547434.0,-2521486.5,-23494706.0,-1318661.4,-23602790.0,-5978101.0,-6401429.5,-11178226.0,-2454224.0,-12530022.0,-740247.75,-5012745.0,-22401636.0,-5958120.0,-16183430.0,-2312498.8,-4578662.5,-16194398.0,-4692077.0,-14276042.0,-24764718.0,-8287115.5,-16999136.0,-9110923.0,-40571620.0,-8261157.5,-18775358.0,-19758346.0,-12725317.0,-26054010.0,-27967588.0,-2193114.5,-3280952.2,-15300332.0,-1398451.6,-22198012.0,-2282841.8,-11805250.0,-12165537.0,-5356971.0,-12598018.0,438689200.0,-3137504.2,-3548547.0,-10213465.0,-10320724.0,-17089086.0,-3394218.8,-13143320.0,208643650.0,-31600576.0,-5427774.0,-1053994.0,-19463924.0,-26470376.0,-15292198.0,-6353410.5,-21589900.0,-4691422.5,-30938652.0,-3704635.5,-18292752.0,-12422921.0,-4425660.5,-27893628.0,-25196290.0,-13737552.0,-24756522.0,-2986066.8,-13912032.0,-15398604.0,-434591.2,-18926174.0,-14368669.0,-1675286.9,-43007550.0,-16435095.0
