,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
count,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0
mean,-110870241.2603184,278289027796.4328,-34476713.52909788,-37825960.06838149,-28520065.11301592,-53609423.82001769,-162034348.339033,-145314272.44428065,-499022862.8104363,-45224622.59799528,-106708728.057046,-46730613.64597582,-87602490.48511203,-22336099.2061763,-286170847.2432193,-147568746.40020636,-218719704.78994694,-310362281.3909198,-241518193.15005895,-17081759.969634432,-42460598.450825475,-87764311.3257665,-250211455.99321935,-544761750.9861438,-94518322.61578715,-231520500.09227595,-80923317.86084905,-218563403.09212855,-141482049.7004717,-165985005.1796875,-472864684.9454599,-176731605.33181015,-78138487.5600678,-335229709.2900943,-27409879.13203125,-372293079.0297759,-101079069.0257223,-104405984.96956073,-213981863.18057194,-67653843.9818691,-1184539785.372052,-117575239.23290095,-86254781.21403302,-297962764.8301887,-68146532.5231427,-73757706.4164947,-167611331.7057783,-143973051.68573114,-125298795.197671,-40243465.654864386,-555053559.7411556,-638603239.7535378,-698244194.1314858,-91577807.22951062,-183453776.73525944,-78566760.30387677,-377738124.4375,-281585149.3741156,-46301820.8228184,-349277951.3455189,-340412981.7367335,-653169697.0645636,-47967439.56258844,-115255288.92099057,-37503629.474307194,-377528687.0981722,-74911421.33438975,-866988023.3646816,-82454678.68359375,-28375171.638693985,-99126542.78228185,-325797158.9581368,-73972212.70533608,-77790433.8256191,-112925486.90219635,-250623497.18396226,-66532332.315964036,-39986639.069383845,-37354649.24868809,-64569755.45194575,-448970441.4221698,-250490488.2131486,-53988539.22508844,-85056058.30770932,-376380365.7673939,-100690580.50309552,-86484909.4142099,-90047045.2211085,-36639406.98471404,-142857195.1353184,-151145962.79289505,-31403512.850958135,-98959082.2341539,-214377575.03125,-201746084.04599056,-36507139.538015924,-315463588.8932783,-206680300.43646815,-267691319.04540095,-293790347.4743514
std,61702254.07907643,155382979825.9009,19181437.606804762,21588991.98768391,15941790.756163169,29855596.48667122,90159766.83411251,80852802.28194696,278336186.48598844,25160715.204173245,59374261.79467177,26168552.188754063,48805175.43769703,12559977.397558255,159712698.07507846,82159871.21954773,121834686.78115171,172939785.50819996,134613386.54942366,9515578.397755835,23631447.882761244,48863840.66091729,139309723.6712307,303988450.396103,52611317.70215958,128904562.63554785,45020495.15971872,121944544.0868243,78725845.95164037,92361052.13431175,263864234.84875286,98320489.63365754,43744898.913186744,186886594.78386268,15279905.702852953,207776483.5363385,56245286.05025375,58109759.69198794,119123990.98271883,37690095.13070299,661626002.8507446,65450027.00326296,48143678.01673442,165963001.53881013,38343201.517661355,41043525.00525263,93297990.25226371,80107704.88404886,69751783.04369289,23274960.357290365,309942819.66857564,356658761.2921359,389395790.4142035,51016648.60005215,102164394.12244232,43815587.540649585,210771073.05486628,156883165.16808268,26528504.06892264,195009530.48473817,189961914.30782112,364379014.53035545,27387967.267122384,64120556.86760623,21715223.881779894,210622958.0118232,41681602.80584091,483905731.9947104,45941256.44618972,15930086.213252049,55404649.723612435,181854030.1012241,41507918.95481635,43397945.51108812,62846502.561809465,139466060.66716743,37545140.64912981,22919865.316836677,21718159.900798522,36054691.229623936,250444628.93021297,139910824.11919793,30472267.377013844,47386352.9231187,210121603.23561534,56040762.258042276,48166066.74577125,50131304.80656423,20507774.43724619,79561529.42730168,84087058.43408903,17862375.16287875,55094076.55523502,119516426.79699357,112398123.22177307,20859161.07489607,175715011.87383032,115519536.38977878,149000343.2156289,163832601.58812344
min,-646837700.0,20058143000.0,-200747170.0,-215952340.0,-164712690.0,-310903260.0,-944296060.0,-847176400.0,-2922280400.0,-263046100.0,-620557600.0,-269436400.0,-507701730.0,-128479390.0,-1676952000.0,-861882430.0,-1278662700.0,-1815195000.0,-1413002400.0,-99874980.0,-247880820.0,-512611520.0,-1461474700.0,-3191959600.0,-548756300.0,-1352055000.0,-471081540.0,-1280501200.0,-824826800.0,-967868700.0,-2770681300.0,-1029257540.0,-459241860.0,-1961867900.0,-158719260.0,-2181777400.0,-589601400.0,-606143360.0,-1249435500.0,-392086820.0,-6947247600.0,-686498400.0,-498652830.0,-1741662100.0,-391652700.0,-429981860.0,-978431700.0,-839254660.0,-731428900.0,-228622260.0,-3254545200.0,-3745072400.0,-4088356000.0,-530802340.0,-1071818200.0,-460116030.0,-2213018000.0,-1646452100.0,-263964260.0,-2047670000.0,-1994647800.0,-3825884400.0,-273746560.0,-670514900.0,-213085470.0,-2211596300.0,-435459420.0,-5081145000.0,-477787170.0,-163306450.0,-572293700.0,-1909532000.0,-425846370.0,-450031040.0,-655877900.0,-1461818100.0,-381678720.0,-227931900.0,-211941380.0,-378665760.0,-2629554200.0,-1469146900.0,-309757800.0,-492970460.0,-2206357000.0,-584754940.0,-501429340.0,-525885600.0,-215330820.0,-834910300.0,-879189500.0,-179561220.0,-574252000.0,-1254804100.0,-1179755100.0,-208319200.0,-1843977600.0,-1212864100.0,-1562517600.0,-1720163800.0
25%,-139345200.0,171278912500.0,-43315082.0,-47174667.0,-35744876.0,-67323860.0,-203549587.5,-182556642.5,-627217367.5,-56779873.5,-133942550.0,-58525356.0,-109958540.0,-27912888.0,-359503040.0,-185547062.5,-274992815.0,-390151630.0,-303554755.0,-21479362.0,-53367904.0,-110355702.0,-314628375.0,-684289900.0,-118582345.0,-291091610.0,-101665255.5,-274512340.0,-177753850.0,-208563532.5,-593975940.0,-221978370.0,-98198210.0,-421268797.5,-34397294.0,-467727272.5,-127014390.5,-131195325.0,-268998557.5,-84923483.0,-1488489550.0,-147799697.5,-108223426.0,-374662027.5,-85121747.5,-92662825.0,-210652605.0,-180863485.0,-157472625.0,-50129344.5,-697537090.0,-802670750.0,-877495875.0,-114961470.5,-230742530.0,-98665062.5,-474550305.0,-354089730.0,-57711825.0,-438930525.0,-427610300.0,-820406415.0,-59846691.5,-144725840.0,-46707414.0,-474245500.0,-93991240.0,-1089290800.0,-103479748.0,-35479736.0,-124227455.0,-409363322.5,-92500732.5,-97570224.0,-141689500.0,-315003400.0,-83112860.0,-49838869.0,-46527478.0,-81132553.0,-563870500.0,-314747985.0,-67451607.5,-106767832.5,-472995970.0,-126418020.0,-108652982.5,-113220982.5,-46043236.0,-179603990.0,-189767870.0,-39201802.0,-124348842.5,-269441327.5,-253692685.0,-45534151.5,-396672030.0,-259629715.0,-336403500.0,-369203515.0
50%,-104929352.0,263816160000.0,-32611051.0,-35431888.0,-26872509.0,-50596724.0,-153374350.0,-137600660.0,-473072560.0,-42749500.0,-100850480.0,-43978967.0,-82627880.0,-21010882.0,-271423760.0,-139770710.0,-207143230.0,-293962910.0,-228760900.0,-16179333.0,-40210164.0,-83130330.0,-237004945.0,-516729750.0,-89244150.0,-219294065.0,-76551580.0,-207293395.0,-133951797.0,-157132905.0,-448530970.0,-167256520.0,-74021815.0,-317621820.0,-25851069.0,-353133200.0,-95717697.0,-98576810.0,-202649735.0,-63811256.0,-1122602650.0,-111345060.0,-81316647.0,-282148770.0,-64060630.0,-69828903.0,-158695220.0,-136295320.0,-118632560.0,-37559408.0,-526048400.0,-605164280.0,-661894500.0,-86377365.0,-173783070.0,-74485793.0,-358253760.0,-266680150.0,-43314705.0,-331153200.0,-322895570.0,-619352550.0,-44913376.0,-108970370.0,-35003740.0,-358023850.0,-70780540.0,-822412065.0,-77759340.0,-26706852.0,-93391452.0,-309020145.0,-69643350.0,-73336376.0,-106631130.0,-237287145.0,-62478376.0,-37402627.0,-34824930.0,-61187997.0,-425684710.0,-237398350.0,-50705530.0,-80230260.0,-356917665.0,-95068140.0,-81606798.0,-85294590.0,-34707434.0,-135263870.0,-142884270.0,-29443158.0,-93428480.0,-203148860.0,-191056280.0,-34179141.0,-298723680.0,-195775870.0,-253429345.0,-278489660.0
75%,-68728558.0,349684985000.0,-21363351.0,-23182993.0,-17617848.0,-33205201.0,-100370760.0,-90031675.0,-307362205.0,-28017961.5,-66116527.0,-28841345.0,-54230661.0,-13752726.5,-176336267.5,-91414307.5,-135349932.5,-191803025.0,-149198067.5,-10556531.0,-26306367.5,-54348123.5,-154946617.5,-335643952.5,-58585155.0,-143393922.5,-50152297.5,-134648187.5,-87653372.0,-102854588.0,-291345025.0,-109507438.5,-47947292.0,-206912165.0,-16960470.0,-229420300.0,-62656410.0,-64712102.5,-132602576.5,-41881068.5,-728134000.0,-72858995.0,-53334056.5,-184419982.5,-41941908.0,-45693536.0,-103916246.0,-89205912.0,-77648968.0,-24577807.5,-341233020.0,-392627255.0,-430199040.0,-56697961.0,-113540600.0,-48392860.0,-232705002.5,-173972960.0,-28330089.5,-214919880.0,-209742882.5,-402302965.0,-29387517.5,-71416044.5,-22907176.0,-232555747.5,-46394970.5,-534297127.5,-51035391.0,-17480726.0,-61229224.0,-200713155.0,-45604287.5,-48120580.0,-69921127.5,-155346497.5,-40901496.0,-24460543.5,-22784820.5,-39698355.0,-276537650.0,-153979630.0,-33193736.0,-52656896.0,-231705535.0,-62355559.0,-53553735.0,-55777146.0,-22487054.5,-88425282.5,-93646781.0,-19251503.0,-61331356.0,-132261908.0,-124659247.0,-22363704.5,-194844250.0,-126941470.0,-165997775.0,-181007497.5
max,-7951896.0,1631548500000.0,-2467872.0,-2654634.8,-2024657.9,-3821861.0,-11608740.0,-10414745.0,-35926090.0,-3233591.5,-7628663.0,-3312009.5,-6241074.0,-1579151.4,-20616276.0,-10595463.0,-15719244.0,-22315404.0,-17370918.0,-1227712.0,-3047552.0,-6301763.5,-17966836.0,-39241504.0,-6745985.0,-16621632.0,-5791159.0,-15742182.0,-10139759.0,-11898621.0,-34062170.0,-12653085.0,-4291365.0,-24119034.0,-1951176.9,-26822460.0,-7248302.0,-7451596.5,-15360172.0,-4819882.0,-85408660.0,-8439291.0,-6129991.0,-21411234.0,-4814350.0,-5285842.0,-12028431.0,-10317362.0,-8991825.0,-2810163.2,-40010816.0,-46041270.0,-50261544.0,-6524929.0,-13176394.0,-5656798.5,-27206314.0,-20241016.0,-3244678.2,-25173576.0,-24521686.0,-47035100.0,-3365146.8,-8242725.0,-2618908.0,-27188976.0,-5353166.0,-62466710.0,-5873386.0,-2007324.1,-7035228.0,-23475630.0,-5234787.5,-5532025.5,-8062725.0,-17971116.0,-4692011.5,-2801769.0,-2604965.8,-4655046.5,-32327296.0,-18061282.0,-3807639.0,-6059845.0,-27124428.0,-7188307.0,-6164174.0,-6464658.0,-2012116.4,-10264033.0,-10808284.0,-2207270.2,-7059142.0,-15425839.0,-14503570.0,-2560881.8,-22669024.0,-14910560.0,-19208810.0,-21147106.0
