,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
count,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0
mean,-178269864.7892099,285443219236.58606,-206570197.55365565,-381163668.5442217,-114955472.04068395,-446150503.5221108,-170503218.71167454,-78423321.59787735,-272479644.1760024,-185458075.1531545,-233551490.82694575,-313022723.6683373,-26375358.216067214,-39206469.81362028,-80455171.35782725,-86659914.47287735,-64034009.35411262,-168987685.119546,-30796218.99921875,-67018216.50464328,-61138228.39136203,-55196862.68636497,-320230524.7458726,-166276289.9743514,-156480698.4967571,-220559532.1226415,-80230754.85741451,-380393971.082842,-210328189.06618515,-72363400.05650058,-75874411.97759435,-44762933.88895931,-262939084.02270046,-21715722.499061026,-684881188.3885614,-226841586.9196639,-195546262.06426886,-37199797.33316628,-430056667.8744104,-408297116.2797759,-36029990.35558667,-175841831.8752948,-262555619.4840802,-63255739.93216392,-127890331.05159198,-586159972.5103184,-409243056.6591981,-87118709.83792748,-35681920.89896079,-61506663.45975825,-7616689.588513414,-84744276.302329,-387670464.0076651,-156342132.76135024,-213794809.43057194,-159657772.89917454,-392620058.8912146,-53057682.897965804,-94599900.6849204,-92966652.73076355,-139929361.2948113,-104833831.830852,-313677526.3714623,-49350216.211438686,-205667133.901533,-46393345.66204304,-80401325.10104658,-417138594.584316,-201100899.3963738,-91176162.02943823,-125905849.2580336,-497885491.1989976,-95351997.73378538,-612042193.4198114,-161001945.1115861,-201751980.34507665,-500390409.6143868,-419365580.4634434,-593095278.4372052,-29677913.124778893,-96313664.5574145,-81322674.0850236,-398495094.7488208,-345315957.5595519,-133896760.51665685,-126688569.33714622,-289214239.5545401,-396235019.9778892,-323183208.1105542,-437296080.0760613,-342445968.6176297,-161084252.29009435,-147823169.9899764,-92315886.25714917,-96518263.38730837,-92511429.89180425,-117053144.32119693,-121372871.33962265,-581360742.2948114,-150662672.13988796
std,99666409.29544201,159519651033.09268,115488704.41792053,213063440.43396726,64277658.50150202,249356361.7876545,95314998.59166262,43803763.67207904,152374065.8832547,103646536.12133186,130597255.45912226,174888541.8916852,19907297.90950269,21946131.450547464,45000809.946382776,48445089.61557067,35873487.98951453,94560945.60444123,17209373.815882932,41352098.61162241,34139237.19284651,30861048.576977488,179015241.23614898,92851619.89536062,87505791.21351984,123273999.14262082,44910621.97873486,212637967.75811356,117487443.62977843,40583252.83106459,42503190.70577998,26841939.26342465,146946578.31844854,19724033.103910256,382745568.6734786,126855949.0534276,109279922.94649905,20791630.447005626,240389217.40872264,228166389.1148816,20147121.953019843,98350158.3768509,146736397.56921014,35413417.89059926,71539278.99818037,327593111.9651954,228737733.05814615,48765822.23020565,19988902.351099957,34671462.466493696,15310863.72602186,47348642.717772104,216657813.7466482,87426186.18381535,119522542.2287004,89276144.2629058,219470223.03278974,29582835.25887255,52949565.06396233,51999039.005655505,78264983.64814565,58543318.54543257,175314682.32417196,27549252.662976936,114937640.1507764,26102519.231089484,44876197.20430397,233147422.38832644,112422025.87565786,51066154.4615055,70470103.5467035,278208599.45025027,53309754.37771476,342051949.6216342,89978334.688595,112770972.03279075,279648196.85707134,234375143.1548588,331503576.0875088,16542287.981566118,53830145.13417905,45579523.17879997,222769433.57693964,193056340.56388068,74800014.69289896,70934616.89631371,161645116.90830165,221496647.8516005,180691383.04873317,244405003.98745888,191469322.41124362,90074428.32049406,82591291.64038488,51650981.988151744,53898907.92099672,51681648.387941234,65390586.75103256,67804952.86920097,324919854.9542189,84308499.09494114
min,-1046424260.0,20591174000.0,-1212516600.0,-2237011500.0,-674835140.0,-2618097000.0,-1000725100.0,-459912640.0,-1599702900.0,-1088217500.0,-1371083900.0,-1836294100.0,-156833040.0,-230380420.0,-472419170.0,-508623230.0,-376486100.0,-992613950.0,-180700260.0,-396235900.0,-358464800.0,-323995330.0,-1879510500.0,-974953150.0,-918672700.0,-1294287400.0,-471382300.0,-2232523500.0,-1233634400.0,-425410340.0,-446072130.0,-264195870.0,-1542866200.0,-129962290.0,-4018669800.0,-1331783800.0,-1147401500.0,-218281760.0,-2523911700.0,-2395676200.0,-211508050.0,-1032485060.0,-1540669200.0,-371727680.0,-751003200.0,-3439608300.0,-2401593000.0,-511872350.0,-209697600.0,-361762200.0,-48240020.0,-497139330.0,-2274805000.0,-917836160.0,-1254884900.0,-937313860.0,-2304279800.0,-310570600.0,-555771840.0,-545888060.0,-821627140.0,-614693300.0,-1840711000.0,-289242530.0,-1206822500.0,-272924160.0,-471205000.0,-2447898400.0,-1180314100.0,-535922780.0,-739696400.0,-2921115600.0,-559670660.0,-3591375400.0,-944712260.0,-1183993900.0,-2936170800.0,-2460815600.0,-3480576000.0,-173652500.0,-565204800.0,-478219300.0,-2338878000.0,-2026907000.0,-785392060.0,-744497200.0,-1697164700.0,-2325552600.0,-1897077400.0,-2566112500.0,-2010197500.0,-945661200.0,-867181100.0,-542182100.0,-565935500.0,-542638460.0,-686570400.0,-711916540.0,-3411481600.0,-884987970.0
25%,-224002092.5,175312750000.0,-259556527.5,-478864190.0,-144454425.0,-560441150.0,-214219435.0,-98571842.5,-342402717.5,-232948515.0,-293485297.5,-393085067.5,-33535040.0,-49261524.0,-101084744.0,-108878092.5,-80502650.0,-212336600.0,-38681495.0,-84719457.5,-76828708.0,-69355832.0,-402336040.0,-208958915.0,-196637452.5,-277060712.5,-100802585.0,-477903825.0,-264247912.5,-90964184.0,-95382300.0,-56492200.0,-330272472.5,-27786666.0,-860253510.0,-285054352.5,-245617765.0,-46726275.0,-540279282.5,-512828635.0,-45276220.5,-220948787.5,-329802377.5,-79485340.0,-160693445.0,-736297425.0,-514095225.0,-109453192.0,-44838932.0,-77354500.0,-10298471.0,-106419720.0,-486954890.0,-196463252.5,-268626020.0,-200625042.5,-493264122.5,-66682845.0,-118865792.5,-116804652.5,-175820295.0,-131745507.5,-394030367.5,-62007692.0,-258337692.5,-58358492.0,-101016460.0,-524007700.0,-252662977.5,-114594650.0,-158197097.5,-625306700.0,-119805545.0,-768785570.0,-202229137.5,-253450802.5,-628529350.0,-526772727.5,-745067292.5,-37295211.5,-120990162.5,-102256210.0,-500670147.5,-433888365.0,-168187117.5,-159193400.0,-363302327.5,-497817980.0,-406096710.0,-549313150.0,-430311422.5,-202420945.0,-185632530.0,-116011790.5,-121295292.0,-116212194.5,-147065175.0,-152487465.0,-730276600.0,-189313567.5
50%,-168849190.0,270400945000.0,-195684910.0,-361025345.0,-108890162.0,-422603985.0,-161504310.0,-74326593.0,-258100240.0,-175697960.0,-221235510.0,-296642460.0,-25256932.0,-37150453.0,-76210255.0,-82085345.0,-60670165.0,-160086345.0,-29172415.0,-63811242.0,-57959622.0,-52288722.0,-303329280.0,-157638775.0,-148235435.0,-208919280.0,-76019095.0,-360301080.0,-199286100.0,-68579070.0,-71898280.0,-42570503.0,-249078130.0,-20924108.0,-648820125.0,-214862750.0,-185248615.0,-35246900.0,-407327490.0,-386854350.0,-34128615.0,-166575445.0,-248689465.0,-59934379.0,-121151595.0,-555209400.0,-387586700.0,-82543125.0,-33815200.0,-58318616.0,-7751059.0,-80309850.0,-367191280.0,-148100485.0,-202522570.0,-151235535.0,-371881555.0,-50280612.0,-89631275.0,-88061592.0,-132556703.0,-99388824.0,-297121060.0,-46815610.0,-194801125.0,-43980052.0,-76266995.0,-395060015.0,-190487765.0,-86394450.0,-119290800.0,-471812130.0,-90323770.0,-579716300.0,-152533760.0,-191081670.0,-474014910.0,-397216200.0,-561721050.0,-28113888.0,-91216900.0,-77056578.0,-377465150.0,-327117310.0,-126875350.0,-120051018.0,-273950340.0,-375314920.0,-306109080.0,-414213000.0,-324361920.0,-152590140.0,-140087920.0,-87462842.0,-91505300.0,-87659968.0,-110911355.0,-115005877.0,-550669470.0,-142727555.0
75%,-109427840.0,358536102500.0,-126796600.0,-233987772.5,-70569586.5,-274015787.5,-104674212.5,-48220100.5,-167286010.0,-113905642.5,-143378497.5,-192390297.5,-16324402.0,-24075281.5,-49402366.5,-53201158.5,-39307164.0,-103761895.0,-18913977.0,-41243301.5,-37622896.0,-33881147.0,-196593767.5,-102241690.0,-96068440.0,-135462942.5,-49271719.0,-233518417.5,-129296030.0,-44418141.5,-46572370.0,-27583498.0,-161492042.5,-13495934.0,-420639950.0,-139268850.0,-120100105.5,-22848428.5,-263997092.5,-250768090.0,-22118097.0,-107970190.0,-161254817.5,-38834148.5,-78534700.0,-360002452.5,-251350030.0,-53503986.0,-21916747.5,-37769983.5,-4970187.875,-52089958.0,-238098052.5,-95981087.0,-131233583.0,-98017682.5,-241023982.5,-32735668.0,-58092775.0,-57085209.0,-85920054.5,-64469844.0,-192652830.0,-30414716.5,-126314470.0,-28494770.0,-49548561.0,-256202485.0,-123458908.0,-55953293.0,-77317596.0,-305914825.0,-58540673.5,-375902970.0,-98885245.5,-123845284.0,-307329840.0,-257564750.0,-364068482.5,-18321789.0,-59120676.5,-49928720.0,-244642770.0,-211960030.0,-82316212.0,-77793577.5,-177628892.5,-243249110.0,-198383325.0,-268576425.0,-210212627.5,-98890696.0,-90860327.5,-56682440.0,-59346262.5,-56873431.0,-71958815.0,-74615337.5,-357057325.0,-92510027.5
max,-12864760.0,1674899200000.0,-14906693.0,-27501808.0,-8289139.0,-32186836.0,-12302922.0,-5654106.0,-19325718.0,-13378510.0,-16756216.0,-22575300.0,711129860.0,-2278069.0,-5539248.5,-6253017.5,-3218242.8,-10810089.0,-2221525.0,941639600.0,-4406923.0,-3983200.5,-23106714.0,-11985972.0,-11138072.0,-15911938.0,-2020688.2,-27446628.0,-15166197.0,104692160.0,-3887519.0,551184600.0,-18967952.0,777431700.0,-49405412.0,-16059585.0,-14106126.0,-2683551.8,-31028952.0,-29452376.0,-2600275.2,-12178122.0,-18940958.0,-3610315.8,-8684812.0,-42286464.0,-29525156.0,-5217101.5,24471672.0,239056690.0,593468350.0,-6111791.0,-27966418.0,-11183915.0,-15427572.0,-11337191.0,-28328828.0,-3818057.8,-3426222.0,-6392259.5,-9678897.0,-7556979.5,-22629670.0,-3555891.5,-14836646.0,138127400.0,-5792900.5,-30094438.0,-14510777.0,-31867.209,-7717497.5,-35912092.0,-6880599.0,-44152290.0,-11614270.0,-14555996.0,-36097220.0,-30253212.0,-42790176.0,-2134822.8,-6948618.0,21993856.0,-28754170.0,-24918834.0,-9655552.0,-2956557.2,-20864924.0,-28590368.0,-23322710.0,-31547740.0,-24713412.0,-11542464.0,-10661079.0,-4979922.0,-6957545.0,-6671146.0,-8440643.0,-8752241.0,-41940700.0,-9615249.0
