,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
count,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0
mean,-25267429.723452244,276747378746.6097,-9095883.53340802,-44014563.48909198,-48427400.25568985,-65163196.3906987,-33018165.46668632,-29984312.047567807,-11199877.78423349,-17275958.29423644,-14641878.97286262,-132351985.55630895,-36588067.66126179,-10867168.724314563,-46700398.24790684,-45644343.61994399,-48234933.14943986,-13971325.276512383,-10858903.619750887,-15268337.726518275,-98247098.61107017,-26203393.364180427,-25567439.23956368,-38455852.83919516,-99963184.52476415,-42024473.17333432,-16774673.071653893,-40986137.174955785,-15451280.28098467,-45554779.958416864,-33231925.209124412,-47009334.263708726,-233434214.80542454,-24501643.42190448,-70133072.06994398,-23666166.1848467,-7823350.333176592,-48135277.43885613,-37783303.23601121,-15386155.043381488,-46910361.12044516,-36085936.228699885,-49775268.24652123,-17095321.052048936,-24586126.259846695,-15097863.50993514,-70558460.51953125,-19567748.695459906,-24363279.30576356,-16090586.873864975,-44661647.90492335,-7862158.189540094,-310857196.6748231,-84807420.26348762,-59530798.340433374,-20262379.2269605,-11373388.39959316,-23309547.852668043,-30089604.37942217,-34164742.7644605,-34411965.62620873,-61425310.788620286,-13419378.450277122,-35334926.78436027,-94403550.64445755,-23762683.342010614,-35526873.48381486,-30364253.758033607,-5350251.468969634,-25084003.87081368,-29249730.085790094,-40983417.48897406,-20913794.70625,-32048747.75056014,-21404707.529304244,-825037.3313841393,-60147133.76334021,-61603924.626768865,-17506617.72211085,-24736721.338944573,-18492483.609743513,-241584402.69604954,-77067067.22501475,-8387910.473232606,-6943117.342612028,-12519719.954370579,-14338589.563098466,-49967524.21242629,-22529009.99833432,-21666124.12951061,-7189512.60889888,-12657435.338002652,-428360201.4035967,-11343190.755142981,-20407194.92007665,-30501518.34195165,-24833009.10246167,-6070968.7162986435,-16868812.22059257,-25275610.23276828
std,14133331.414474588,154653363486.6831,5602705.039563907,24515865.68954235,27021426.276871752,36387181.47879693,18379479.41381,16709077.286814377,6570363.079000084,9624196.39189598,8148108.397810599,73869393.41541438,20374266.67150043,6347952.360692031,26086947.378472522,25427627.831768166,34549124.3795768,8040449.305681578,6444289.639770037,8683586.948166333,54724130.442267515,14650204.560738312,14233773.236358127,21421528.96291537,55817036.810597844,23394702.735370558,9556930.780760342,22882370.451334625,8805006.637914654,25397159.675022844,18504968.746020053,26188872.21775526,130508819.60906251,13640287.048500612,39045115.75771876,13230410.626433829,4951858.9029673785,26794980.582308795,21031951.704680204,8790078.796727788,26146858.42065816,20101309.617583133,27752040.814478543,9691060.864299083,13720391.656664355,8639791.62576033,39286031.45291599,11048633.251608508,13585037.644533373,8962897.697014643,24862734.58554956,5027517.212043661,173590299.1790835,47236242.59706273,33188915.97033323,11287250.542272683,6701327.387906272,13067422.015077677,16791519.912801243,19017323.925497256,19179648.214685846,34236709.227738656,7692228.333909929,19680714.724956926,52677366.329131044,13281339.36083291,19785450.23642269,16915608.354707688,38710126.11176196,13967020.025226807,16300609.368511071,22815212.90360399,11645175.063956099,17871580.347255446,11977933.705987608,954013.5332940122,33566710.25417318,34382048.893563434,9925231.047031647,13827286.305712193,10454454.209617855,135045176.79488766,43009961.94812671,4784702.6128833685,56302533.67293451,7100524.803941897,8036606.205546621,27817522.616631463,12594099.181894459,12184392.211944764,4046585.8863912253,7100038.643914415,239343731.5526132,6327868.156701155,11505880.59264503,16999507.26239411,13850476.64779789,3388865.8637812324,9561176.404808758,14152431.928710226
min,-146571060.0,19962446000.0,-90687320.0,-257339180.0,-283795520.0,-382214000.0,-192694190.0,-174372140.0,-86059340.0,-100634744.0,-85367220.0,-775878200.0,-213048100.0,-80821896.0,-273800350.0,-266869390.0,-285739600.0,-87236984.0,-91210690.0,-87963660.0,-574700350.0,-152039060.0,-148942510.0,-223947790.0,-586058050.0,-245110500.0,-96661850.0,-240256110.0,-88980230.0,-266803360.0,-194270820.0,-274935520.0,-1369954800.0,-142779970.0,-409811420.0,-137287760.0,-86096456.0,-281162240.0,-220649550.0,-89317280.0,-274505950.0,-211001340.0,-291503070.0,-98562904.0,-144027780.0,-88787350.0,-412408540.0,-113118880.0,-142612400.0,-93881710.0,-260838370.0,-89764900.0,-1822892000.0,-496009540.0,-348613250.0,-118413736.0,-88505420.0,-135096640.0,-174859410.0,-199497970.0,-200178660.0,-359491260.0,-84515060.0,-205699500.0,-553125700.0,-137798200.0,-206816480.0,-176621140.0,-40348380.0,-146093600.0,-171101660.0,-238945540.0,-121758770.0,-186376880.0,-124034190.0,-27963160.0,-352502500.0,-361129570.0,-100959210.0,-143414300.0,-106774670.0,-1417699600.0,-451679740.0,-48280564.0,-54217380.0,-72092450.0,-82954910.0,-291586560.0,-130709050.0,-125326760.0,-42445868.0,-74467656.0,-2513083600.0,-65817324.0,-117976820.0,-177381020.0,-144301580.0,-35609400.0,-97342070.0,-146587950.0
25%,-31644884.5,169986110000.0,-11258552.0,-55358296.0,-60841259.0,-81865822.0,-41575926.0,-37638124.0,-13914644.0,-21703450.0,-18423650.0,-166292015.0,-45979503.0,-13521741.5,-58697240.0,-57408342.0,-61166766.0,-17411139.5,-13476198.0,-19064392.5,-123524917.0,-32827110.0,-32124688.0,-48336212.0,-125618264.5,-52896120.0,-20948508.5,-51505700.0,-19291963.0,-57255809.0,-41791140.0,-59128282.0,-293258605.0,-30812804.0,-88231465.0,-29642394.0,-9664579.75,-60547306.0,-47528400.0,-19203490.5,-59035987.0,-45390292.0,-62593349.5,-21360690.5,-30913413.5,-18839085.0,-88693423.0,-24449025.0,-30670688.0,-20237943.0,-56173225.5,-9713331.0,-390695475.0,-106661157.5,-74824116.0,-25518753.5,-14124062.0,-29173228.0,-37745177.5,-42992561.0,-43208110.5,-77268627.5,-16740546.25,-44393146.0,-118609507.5,-29752712.5,-44634340.0,-38122925.0,-8637195.0,-31509866.0,-36806978.0,-51566255.0,-26269131.0,-40228708.0,-26786859.5,-978167.4750000001,-75569190.0,-77400210.0,-21870482.0,-30966506.0,-23104884.0,-303479000.0,-96835022.5,-10463671.0,-11591851.0,-15637606.0,-17950408.5,-62925493.0,-28215309.5,-27105588.5,-9068864.75,-15923225.25,-537961705.0,-14207543.25,-25528400.0,-38287481.0,-31151760.0,-7658270.75,-21063845.0,-31647248.5
50%,-23821070.0,262238770000.0,-8460618.0,-41716591.0,-45912196.0,-61744516.0,-31258393.0,-28332164.0,-10479118.0,-16337740.5,-13858254.0,-125450763.0,-34604350.0,-10164718.0,-44313263.0,-43261560.0,-46099642.0,-13092355.5,-10146637.0,-14339159.0,-93181750.0,-24709524.0,-24191938.0,-36369842.0,-94773805.0,-39761170.0,-15750674.5,-38863958.0,-14509039.0,-43185953.0,-31502031.0,-44558182.0,-221133460.0,-23174648.0,-66459560.0,-22312172.0,-7250006.75,-45602796.0,-35791489.0,-14445350.0,-44470418.0,-34194980.0,-47189940.0,-16060671.5,-23313230.0,-14172122.5,-66874178.0,-18406374.0,-23095875.0,-15225004.5,-42306430.0,-7279754.0,-294588800.0,-80422615.0,-56439883.0,-19190112.0,-10634278.0,-21956378.0,-28411350.0,-32357450.0,-32519603.0,-58201760.0,-12592140.5,-33410725.0,-89542957.0,-22399667.0,-33594377.0,-28697338.0,-6506488.25,-23733238.0,-27724803.0,-38761656.0,-19780076.0,-30282352.0,-20162506.0,-735649.595,-57054614.0,-58390752.0,-16448346.5,-23312450.0,-17377972.0,-228840100.0,-73071217.0,-7871357.25,-8727975.0,-11759958.5,-13491563.0,-47300254.0,-21243048.0,-20382357.0,-6823357.5,-11997120.0,-405974080.0,-10698901.0,-19187182.0,-28821196.0,-23446286.0,-5746993.25,-15849291.5,-23823636.0
75%,-15600105.0,347588490000.0,-5531288.25,-27192038.0,-29813562.5,-40074540.0,-20404328.5,-18531267.0,-6861600.375,-10692875.5,-9070643.0,-81408867.5,-22637598.0,-6663099.125,-28705013.0,-28199060.0,-29879204.5,-8584218.0,-6638134.875,-9400627.0,-60713420.0,-16189157.25,-15825949.5,-23795553.0,-61524646.0,-25987273.0,-10329953.0,-25238833.0,-9511696.5,-28061556.5,-20527804.0,-29050402.0,-143349420.0,-15162574.5,-43304343.5,-14618480.75,-4740842.0,-29756022.5,-23360225.5,-9471591.5,-28947359.5,-22293309.5,-30656186.5,-10533227.0,-15147298.5,-9291392.25,-43577831.5,-12077646.0,-15000344.75,-9936906.0,-27598820.0,-4761516.875,-191127722.5,-52405643.0,-36683172.5,-12507521.0,-6954620.0,-14390604.5,-18586910.0,-21110052.0,-21270218.5,-37892756.5,-8254999.0,-21856672.5,-58163159.0,-14678439.0,-21975547.5,-18768446.5,-4202460.875,-15523268.0,-18054315.0,-25363391.0,-12937409.0,-19803792.5,-13223949.5,-482829.18,-37061504.0,-37873807.0,-10789165.75,-15276486.5,-11406335.0,-148345550.0,-47459747.5,-5159902.5,-5611013.875,-7710974.0,-8859352.25,-30888648.0,-13916381.0,-13380814.75,-4382999.25,-7750340.625,-263195555.0,-7017733.5,-12595865.75,-18848011.0,-15347541.5,-3722886.2,-10402921.0,-15606880.75
max,-1802474.2,1623757000000.0,-634691.5,-3164079.0,-3489206.2,-4698979.0,-2369235.2,-2144185.2,-788483.2,-1237510.0,-1049664.8,-9538772.0,-2619733.5,-765929.25,-3366202.8,-3281244.0,1188497500.0,-987015.3,-763035.2,-1081917.8,-7065796.5,-1869627.5,-1831463.0,-2753668.5,-7205243.5,-3013654.2,-1188865.6,-2953900.0,-1094441.2,-3280181.8,-2388497.2,-3380338.5,-16468866.0,-1755703.0,-5038651.0,-1688346.9,-543382.4,-3456957.2,-2712968.0,-1089259.1,-3375155.5,-2594482.2,-3583806.2,-1212235.9,-1770922.2,-1068529.2,-5070550.0,-1391179.1,-1753564.8,-1154506.0,-3207154.5,-545309.1,-22410918.0,-6098397.5,-4286062.5,-1455982.9,-799747.5,-1661379.1,-2150223.0,-2452932.5,-2461543.2,-4419959.5,-950015.0,-2529284.0,-6800405.5,-1694579.1,-2543096.0,-2171886.2,1551815200.0,-1796544.9,-2103841.8,-2938113.2,-1497264.2,-2291823.2,-1525371.8,-55408.613,-4333946.5,-4439849.5,-1241702.8,-1763675.8,-1313176.6,-17429124.0,-5553232.5,-593930.06,2235543600.0,-886647.7,-1020253.56,-3585093.8,-1607415.0,-1541285.1,-271538.72,-355029.56,-30895958.0,-809480.0,-1450922.9,-2181259.8,-1774506.9,-437855.12,-1197245.4,-1802656.9
