,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
count,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0
mean,-387595369.828125,283413284858.49054,-236472833.28272405,-471922642.5073703,-404271692.459316,-708254107.6730542,-542079862.1521226,-303258277.5834316,-761412138.1857312,-260468691.87323114,-462467462.7868514,-180968746.19604954,-135234128.76739386,-366522586.3744104,-363350032.160967,-750718406.1123232,-454287211.5456958,-48903417.136173345,-890075046.1866156,-226280739.1255896,-288022685.7895047,-593866126.0221108,-82874805.63618809,-618627560.4071344,-504103560.9003538,-177657562.7844929,-387000370.9230542,-241807007.91833726,-23627306.036173347,-145975484.10819575,-356089233.160967,-523633343.2526533,-167279549.9405955,-790569707.9009434,-406208919.5639741,-177236075.06146815,-772710375.7647406,-457025309.6933962,-229093362.3169369,-714823707.8251768,-690733242.0241746,-393978977.2846403,-376839401.09375,-313116046.5079599,-293221284.29783314,-719271509.3770636,-712243917.109375,-231584970.0520342,-161145236.7287736,-237473037.72818395,-318929152.1070165,-241633214.0595519,-250222618.63354954,-455064236.8817807,-236696958.92275944,-346419409.0350825,-394832860.6907429,-618721626.9681604,-146038851.99557784,-98029101.55402417,-307814427.5362618,-431886011.292158,-814943545.3148584,-8944471.92849204,-377913580.8089623,-207908132.47803655,-319163600.1179245,-150746432.4901238,-484686388.3001179,-11672874.871390035,-502953269.6129127,-215075933.1196934,-378637897.1506486,-217146683.43322524,-446831915.5940448,-363109310.9227594,-519182154.3667453,-141389295.5543927,-57928019.086645044,-12172444.287169812,-189183171.26441628,-123955508.80512972,-880864223.7727004,-321024305.6477005,-214406662.3433815,-697700923.8605542,-195987788.5806309,-640567664.1081958,-563938961.2685732,-420223116.0324292,-420217181.9100825,-15060388.75521816,-198631297.85347876,-633939691.9566628,-352446393.1816038,-182400773.17567807,-357310440.7426297,-141826100.02255306,-111613726.4684552,-60676958.103331365
std,216657845.09938732,158364731163.0452,132017607.96978994,263706731.34374797,225839698.1379001,395897309.19578767,302833008.51197267,169523756.67676142,425395829.410717,145516926.6329591,258336386.34804764,101141447.80297565,79701443.3744875,204815144.001206,203036326.71035412,419452167.55255765,253866624.05280986,27297363.44951163,497439834.0712713,126320816.52780467,183753804.62708935,331876605.0090042,50542390.93634536,345710940.45197767,281554322.7368851,99183807.5068201,221943849.09955943,135129909.04665378,13192916.595191803,81458006.03818569,198822470.465788,292665747.35684717,93446343.01052353,441863482.0261967,226896300.1940249,98908836.72660305,431851514.0490199,255347634.03753233,129459842.69815184,399407027.81243527,386103101.6205227,220269374.66579896,210570783.32324654,174821896.46876705,163942441.13996246,402030056.8510247,398076850.6924253,129467192.71980868,89907212.53548318,132659555.67353883,178136196.17678633,139661426.78380585,139853734.6530499,254047721.87610123,132173717.15541299,193511694.4031571,220789480.73742223,345714342.8489407,81531742.10550824,54704333.253952384,171865304.63221145,241416350.93348646,455469371.123692,5062022.96936979,211086222.11389917,116084885.94166344,178275613.69977814,84124993.77300632,270951106.6332848,6606950.514000935,280995987.5870199,120072624.70575659,211589922.00944975,121164425.87692423,249584445.81414396,202922681.48681244,290167056.57270396,78821914.01844363,32322430.203790966,6850844.118943261,108068707.93659538,79553480.2692464,492435893.1254253,179298743.15041533,134949952.84356368,389989724.01663697,121908583.28069098,357844019.7662542,315076237.1344146,234692863.55673078,236178046.1403145,8399667.106591525,115454328.34057973,354152567.37166315,197714390.33686888,104239581.39004593,199876405.6774016,79207819.06680928,62222266.802525684,33803278.94768256
min,-2274653200.0,20442823000.0,-1386598900.0,-2768862000.0,-2371359200.0,-4156272000.0,-3180138200.0,-1779762600.0,-4466799600.0,-1527882900.0,-2712751000.0,-1061812350.0,-795806340.0,-2150399000.0,-2131809200.0,-4404515300.0,-2665474000.0,-286901470.0,-5222806500.0,-1326800300.0,-1699489800.0,-3484511700.0,-488379840.0,-3629857000.0,-2956779000.0,-1041828400.0,-2275226600.0,-1418675500.0,-137699250.0,-855487500.0,-2088253700.0,-3072744700.0,-981545400.0,-4639147000.0,-2382549000.0,-1038798600.0,-4534177000.0,-2681417500.0,-1345391900.0,-4193972700.0,-4053357600.0,-2312195300.0,-2210991900.0,-1835891100.0,-1721113200.0,-4220871000.0,-4179243000.0,-1359269200.0,-944266750.0,-1393313500.0,-1870898000.0,-1420511500.0,-1468234500.0,-2668075800.0,-1387966500.0,-2031947500.0,-2317737000.0,-3629801700.0,-856152400.0,-574523000.0,-1805127200.0,-2534308400.0,-4782110700.0,-51890988.0,-2216802000.0,-1219031800.0,-1871879300.0,-883560600.0,-2844526000.0,-67687200.0,-2950724600.0,-1261068200.0,-2221753900.0,-1272558100.0,-2620946200.0,-2130579100.0,-3046307000.0,-827766500.0,-339449570.0,-70661200.0,-1112237400.0,-730163840.0,-5169489400.0,-1882822400.0,-1264347100.0,-4094218000.0,-1155111000.0,-3757578500.0,-3308242700.0,-2464552700.0,-2467611600.0,-87835336.0,-1168144600.0,-3718749000.0,-2069116300.0,-1072256000.0,-2097121000.0,-831792960.0,-653410600.0,-354711870.0
25%,-486921985.0,174134812500.0,-297185425.0,-592714425.0,-507918050.0,-889709450.0,-680754130.0,-380983657.5,-956182400.0,-327254995.0,-581040260.0,-227296062.5,-170353587.5,-460323337.5,-456343960.0,-942849625.0,-570582887.5,-61375698.0,-1118016250.0,-284369055.0,-363799842.5,-745909830.0,-104544750.0,-777022817.5,-632940767.5,-223147600.0,-487044795.0,-303687600.0,-29715755.0,-183446777.5,-447309522.5,-657764465.0,-210113995.0,-993075745.0,-510348450.0,-222696460.0,-970604850.0,-573995775.0,-288000180.0,-897779935.0,-867678935.0,-494958247.5,-473294435.0,-393457692.5,-368429065.0,-903538067.5,-894626800.0,-290971117.5,-202484325.0,-298258690.0,-400492485.0,-304080670.0,-314296467.5,-571604737.5,-297473417.5,-435248725.0,-496144852.5,-777010760.0,-183496307.5,-123165784.0,-386663080.0,-542504925.0,-1023679505.0,-11191995.75,-474538050.0,-261271237.5,-400961510.0,-189415262.5,-608911455.0,-14599273.25,-631644625.0,-270124112.5,-475598122.5,-272811455.0,-561413797.5,-456080695.0,-652105205.0,-177917312.5,-72856584.5,-15248536.0,-237987690.0,-156489872.5,-1106602975.0,-403305545.0,-270651410.0,-876426107.5,-247267932.5,-804830200.0,-708587800.0,-527913945.0,-528227400.0,-18937690.0,-250057925.0,-796513500.0,-442923777.5,-229436967.5,-448918432.5,-178172265.0,-140462717.5,-76362742.5
50%,-367166400.0,268515170000.0,-224059750.0,-447116420.0,-383186860.0,-670891000.0,-513732540.0,-287231105.0,-721585150.0,-246820130.0,-438352045.0,-171490095.0,-128409740.0,-347363835.0,-344381020.0,-711242500.0,-430590060.0,-46329128.0,-843340300.0,-214397000.0,-274206320.0,-562813900.0,-78818430.0,-585918900.0,-477649975.0,-168348530.0,-367126385.0,-229178520.0,-22336870.0,-138382990.0,-337535070.0,-495991300.0,-158437815.0,-748834800.0,-384995055.0,-168035415.0,-731890700.0,-432984545.0,-217247425.0,-677243975.0,-654278700.0,-373158800.0,-356960740.0,-296744500.0,-277765950.0,-681318430.0,-674921155.0,-219408600.0,-152743890.0,-224903920.0,-302113000.0,-229256080.0,-237090800.0,-431254600.0,-224344000.0,-328341440.0,-373986020.0,-586372880.0,-138467835.0,-92934600.0,-291771900.0,-409240820.0,-771914920.0,-8415985.5,-358111120.0,-197038030.0,-302561280.0,-142861160.0,-459070360.0,-10975748.0,-476530750.0,-203899910.0,-358627650.0,-205848020.0,-423476010.0,-343975965.0,-491918330.0,-134013102.0,-54914704.0,-11461944.0,-179446600.0,-118019816.0,-834440770.0,-304329860.0,-204012600.0,-660927300.0,-186453810.0,-607155220.0,-534465505.0,-398358100.0,-398251720.0,-14241114.0,-188557570.0,-600880770.0,-334026940.0,-173017440.0,-338509660.0,-134446740.0,-105785185.0,-57466689.0
75%,-238069990.0,355953802500.0,-145382240.0,-289959522.5,-248539850.0,-434851515.0,-333049980.0,-186167065.0,-467822830.0,-160135747.5,-284320627.5,-111197471.0,-83214287.5,-225204607.5,-223269175.0,-461247875.0,-279073712.5,-30071967.5,-546691995.0,-139112530.0,-177708872.5,-364800727.5,-51071105.0,-380124365.0,-309897232.5,-109360425.0,-238001115.0,-148638100.0,-14588651.5,-89831728.0,-218949570.0,-321531815.0,-102847070.0,-485567790.0,-249732230.0,-109079269.5,-474610887.5,-280802325.0,-140891477.5,-439199455.0,-424147937.5,-241889255.0,-231538622.5,-192521227.5,-180025775.0,-441772687.5,-437502142.5,-142177450.0,-99175195.0,-145910060.0,-196142027.5,-148583057.5,-153694487.5,-280017192.5,-145525630.0,-212966460.0,-242373047.5,-380151235.0,-89835712.5,-60287921.0,-189264400.0,-265283212.5,-500534167.5,-5501256.375,-232340850.0,-127813160.0,-196263140.0,-92757831.0,-297544122.5,-7172838.625,-309009145.0,-132220660.0,-232665605.0,-133632795.0,-274698660.0,-223117385.0,-319013862.5,-87063300.0,-35619702.0,-7499792.0,-116302382.0,-76556300.0,-540867300.0,-197377185.0,-132245325.5,-428538605.0,-120822627.5,-393827870.0,-346733705.0,-258340735.0,-258111605.0,-9280828.75,-122329841.5,-389758215.0,-216573625.0,-112121639.5,-219489627.5,-87209257.5,-68724660.0,-37373490.0
max,-27964398.0,1662835900000.0,-17046544.0,-34040108.0,-29153162.0,-51097030.0,-39096470.0,-21880316.0,-54914492.0,-18783506.0,-33350200.0,-13053775.0,1856709400.0,-26436618.0,-26208206.0,-54148810.0,-32769112.0,-3527389.8,-64208860.0,-16311462.0,5886123000.0,-42838300.0,1178726700.0,-44625120.0,-36350332.0,-12808070.0,3462834700.0,-17440956.0,-1692660.5,-10516994.0,-25672678.0,-37776024.0,-12067317.0,-57033416.0,-29290746.0,-12770803.0,-55742890.0,-32965092.0,1292686000.0,-51560344.0,-49831704.0,-3879651.0,-27181756.0,-22570172.0,-2342694.5,-51891316.0,-51379280.0,-16710927.0,-11608509.0,-17129378.0,-23000542.0,2610709800.0,-18050252.0,-32800920.0,-17063350.0,-24980428.0,-10722112.0,-44624412.0,-10525184.0,-7063155.5,-22191936.0,-9494224.0,-58791140.0,-637682.6,-27253000.0,-14986420.0,-23012476.0,-10862084.0,-34970348.0,-832152.6,-36275892.0,-15503186.0,-27314108.0,-15644343.0,-32221506.0,-26192910.0,-36524996.0,-10176164.0,-4172828.8,-868418.0,1572823600.0,2929220400.0,-63553410.0,-23146990.0,4036843000.0,-50334004.0,3611287000.0,-46195150.0,-40671116.0,-30298788.0,1503688700.0,-1079498.0,2187593000.0,-45717764.0,969989000.0,1540624400.0,284382620.0,-10225858.0,-8032576.0,-4360408.0
