,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,sex=0,sex=1,income=0,income=1,workclass=Federal-gov,workclass=Local-gov,workclass=Private,workclass=Self-emp-inc,workclass=Self-emp-not-inc,workclass=State-gov,education=10th,education=11th,education=12th,education=1st-4th,education=9th,education=Assoc-acdm,education=Assoc-voc,education=Bachelors,education=HS-grad,education=Masters,education=Preschool,education=Prof-school,education=Some-college,marital-status=Divorced,marital-status=Married-civ-spouse,marital-status=Married-spouse-absent,marital-status=Never-married,marital-status=Separated,marital-status=Widowed,occupation=Adm-clerical,occupation=Armed-Forces,occupation=Craft-repair,occupation=Exec-managerial,occupation=Farming-fishing,occupation=Handlers-cleaners,occupation=Machine-op-inspct,occupation=Other-service,occupation=Priv-house-serv,occupation=Prof-specialty,occupation=Sales,occupation=Tech-support,relationship=Husband,relationship=Not-in-family,relationship=Other-relative,relationship=Own-child,relationship=Unmarried,relationship=Wife,race=Amer-Indian-Eskimo,race=Asian-Pac-Islander,race=Black,race=Other,race=White,native-country=Cambodia,native-country=Canada,native-country=Cuba,native-country=Dominican-Republic,native-country=Ecuador,native-country=England,native-country=Germany,native-country=Greece,native-country=Haiti,native-country=Holand-Netherlands,native-country=Honduras,native-country=Hong,native-country=Hungary,native-country=Jamaica,native-country=Mexico,native-country=Nicaragua,native-country=Outlying-US(Guam-USVI-etc),native-country=Peru,native-country=Portugal,native-country=Puerto-Rico,native-country=Scotland,native-country=Thailand,native-country=Trinadad&Tobago,native-country=United-States
count,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0
mean,0.2808529734611511,0.14403454959392548,0.601538896560669,-0.004972207825630903,-0.004723036661744118,0.3924829363822937,0.293771356344223,0.667949378490448,0.7551970481872559,0.23513051867485046,0.0009424506570212543,0.08514833450317383,0.7213658094406128,0.029098983854055405,0.07358141988515854,0.03275959566235542,-0.0034958228934556246,-0.003954413812607527,-0.003032601671293378,-0.0029900898225605488,-0.002278599888086319,-0.0025296183302998543,0.038806915283203125,0.1494048535823822,0.3713722229003906,0.052631448954343796,-0.0034977924078702927,-0.002082875929772854,0.20112556219100952,0.12955832481384277,0.48065078258514404,-0.007200379390269518,0.37774795293807983,0.02482585236430168,0.016354592517018318,0.11625391244888306,-0.0017508885357528925,0.137564018368721,0.12688830494880676,-0.003439896274358034,-0.003995449747890234,-0.0066645280458033085,0.08477840572595596,-0.002070773858577013,0.14959412813186646,0.08111105859279633,-0.006840193178504705,0.4373851418495178,0.25364184379577637,0.020989984273910522,0.13904182612895966,0.11587072163820267,0.03368024155497551,-0.00547145726159215,0.02857099659740925,0.08063603937625885,-0.00527695007622242,0.8668893575668335,-0.006867788266390562,-0.006026615854352713,-0.007377855014055967,-0.005021718796342611,-0.0010087034897878766,-0.0043073189444839954,-0.007160875480622053,-0.0028916760347783566,-0.004007784184068441,-0.0037478101439774036,-0.0060950033366680145,-0.0033091423101723194,-0.007249963004142046,-0.004435796290636063,0.00978537555783987,-0.0060516661033034325,-0.005742693319916725,-0.005631649401038885,-0.006410772912204266,-0.003678438253700733,-0.006566646508872509,-0.004691967274993658,-0.007135325577110052,0.9305995106697083
std,0.1869441270828247,0.11719449609518051,0.17092584073543549,0.014594349078834057,0.009298930875957012,0.10884827375411987,0.43420544266700745,0.4673512279987335,0.43049466609954834,0.4235445261001587,0.02307496778666973,0.30988532304763794,0.44618692994117737,0.18758247792720795,0.2682291865348816,0.19206751883029938,0.016098130494356155,0.010012603364884853,0.01557575911283493,0.003461770713329315,0.016414063051342964,0.007443997077643871,0.2126225382089615,0.343234658241272,0.5324987173080444,0.24366039037704468,0.02062646672129631,0.008164878934621811,0.39159300923347473,0.3357023596763611,0.5142437219619751,0.01451023481786251,0.5549432039260864,0.18453851342201233,0.14530280232429504,0.3298582136631012,0.014411726966500282,0.3527533710002899,0.340366005897522,0.0061534736305475235,0.005460353568196297,0.011720892041921616,0.2657676339149475,0.016231510788202286,0.3937602937221527,0.2508434057235718,0.02304978296160698,0.5282843708992004,0.4431704580783844,0.1667364537715912,0.34343770146369934,0.3417452275753021,0.19883319735527039,0.022294219583272934,0.18009282648563385,0.26309236884117126,0.013969718478620052,0.35242223739624023,0.014074464328587055,0.008650618605315685,0.010795142501592636,0.010570158250629902,0.0386665053665638,0.008663789369165897,0.01363293919712305,0.019924404099583626,0.03063705936074257,0.008127259090542793,0.005905640311539173,0.020977454259991646,0.015045585110783577,0.006667092442512512,0.11184462904930115,0.013541020452976227,0.008048529736697674,0.017626691609621048,0.01607716642320156,0.011371913366019726,0.013597749173641205,0.005701024085283279,0.008546289056539536,0.2400185912847519
min,-0.040333036333322525,-0.0737520307302475,-0.008138775825500488,-0.05941034108400345,-0.1037544384598732,-0.023575853556394577,-0.0309654101729393,-0.019269155338406563,-0.07374678552150726,-0.06537867337465286,-0.06517193466424942,-0.11477182060480118,-0.009975872002542019,-0.07873179763555527,-0.0980166494846344,-0.1649819165468216,-0.13524626195430756,-0.05757256969809532,-0.13247346878051758,-0.07714123278856277,-0.1535961925983429,-0.08767572790384293,-0.08500052243471146,-0.2854633927345276,-0.08042141050100327,-0.1063426285982132,-0.13126952946186066,-0.05503072589635849,-0.11112497001886368,-0.02920657955110073,-0.0742846354842186,-0.13651679456233978,-0.021522540599107742,-0.06705451756715775,-0.16366276144981384,-0.1032140925526619,-0.10628794133663177,-0.1197376400232315,-0.06744055449962616,-0.05476130545139313,-0.05288725718855858,-0.08024246245622635,-0.17562335729599,-0.07166911661624908,-0.12144185602664948,-0.11342742294073105,-0.16712148487567902,-0.13972793519496918,-0.029829496517777443,-0.0837828516960144,-0.05983126163482666,-0.15561574697494507,-0.09181738644838333,-0.11934779584407806,-0.2623670995235443,-0.06179102882742882,-0.0875391811132431,-0.0294593945145607,-0.11343938857316971,-0.06713967025279999,-0.07736233621835709,-0.1420011669397354,-0.14797206223011017,-0.12494367361068726,-0.13292688131332397,-0.10352718085050583,-0.12405019253492355,-0.09015706181526184,-0.16265720129013062,-0.09780523180961609,-0.07777824997901917,-0.03262246400117874,-0.04607318341732025,-0.11282471567392349,-0.0715935230255127,-0.08272388577461243,-0.25496500730514526,-0.05978354439139366,-0.2195635735988617,-0.11674673855304718,-0.08376683294773102,-0.014537530019879341
25%,0.1365301012992859,0.05963563919067383,0.5251377820968628,-0.008305403869599104,-0.00679874955676496,0.3499014377593994,-0.005846401792950928,-0.0014353298756759614,0.8749487400054932,-0.003511607530526817,-0.006170004955492914,-0.00435413233935833,-0.0044930101139470935,-0.009066591272130609,-0.00789313786663115,-0.008835179032757878,-0.006862795213237405,-0.006160262739285827,-0.005368406535126269,-0.004219441441819072,-0.0059392808470875025,-0.004538333625532687,-0.011226759059354663,-0.008287141099572182,-0.0038388000684790313,-0.00728132831864059,-0.007878368953242898,-0.00376935355598107,-0.004714703536592424,-0.004282305017113686,-0.0031407427741214633,-0.010722945909947157,-0.004252130864188075,-0.007348405662924051,-0.008046126225963235,-0.008552972925826907,-0.005158092826604843,-0.00556035153567791,-0.008294539526104927,-0.004986251937225461,-0.005445800488814712,-0.009035572875291109,-0.006306974566541612,-0.005236363271251321,-0.007419275934807956,-0.014643637696281075,-0.011773217935115099,-0.008549658115953207,-0.00225429586134851,-0.008544191950932145,-0.0050302851013839245,-0.004349658265709877,-0.011800190899521112,-0.009673663880676031,-0.005970270489342511,-0.004191526211798191,-0.008414494805037975,0.988566517829895,-0.009428684134036303,-0.008372768526896834,-0.009856329066678882,-0.008130734087899327,-0.009701449424028397,-0.006130054942332208,-0.010184062412008643,-0.007666636607609689,-0.010094603057950735,-0.006096556084230542,-0.008153429720550776,-0.006700316444039345,-0.0107123339548707,-0.006057764287106693,-0.007387029938399792,-0.00759535189718008,-0.007259611855261028,-0.008272926788777113,-0.009233356453478336,-0.005626209895126522,-0.008857320295646787,-0.006168992957100272,-0.009655942674726248,0.9750195741653442
50%,0.25933587551116943,0.12161731719970703,0.5711748600006104,-0.00501512736082077,-0.004796955501660705,0.3949463367462158,-0.0026490020100027323,0.9773173332214355,0.9848334789276123,-0.002468688413500786,-0.0034882628824561834,-0.003281378769315779,0.9716023206710815,-0.006861519534140825,-0.006121261045336723,-0.007249362301081419,-0.0043909691739827394,-0.004205326782539487,-0.00360837928019464,-0.0026372557040303946,-0.0034838865976780653,-0.0027884680312126875,-0.0075037130154669285,-0.006663598818704486,-0.0020636653061956167,-0.004970383597537875,-0.005014452617615461,-0.002147014136426151,-0.0031829093350097537,-0.0028907107189297676,-0.0010049581178463995,-0.007824525702744722,-0.0011544846929609776,-0.005483105080202222,-0.0058157253079116344,-0.006189272273331881,-0.0030467723263427615,-0.004114284412935376,-0.006634406978264451,-0.0034357731929048896,-0.0038539624074473977,-0.007061507552862167,-0.002686729421839118,-0.003121254383586347,-0.005298778880387545,-0.010085882619023323,-0.008727821987122297,-0.0031139348866418004,-0.0010067075490951538,-0.00636120536364615,-0.0033823917619884014,-0.002723250421695411,-0.008276030886918306,-0.006553452927619219,-0.003754775505512953,-0.0034008645452558994,-0.006247171200811863,1.0076401233673096,-0.006817527813836932,-0.006247098091989756,-0.0069253824185580015,-0.004843652248382568,-0.004840764915570617,-0.004372393013909459,-0.006972150644287467,-0.004975184099748731,-0.007282573962584138,-0.0036381601821631193,-0.005367970326915383,-0.004806642420589924,-0.007751624332740903,-0.004762065131217241,-0.00572289084084332,-0.005797402700409293,-0.005749858450144529,-0.00554855796508491,-0.006422786507755518,-0.0043614546302706,-0.006592516554519534,-0.004187371581792831,-0.007152557140216231,0.9925117492675781
75%,0.40354087948799133,0.20066887140274048,0.7463350296020508,-0.0030620418838225305,-0.002887919486965984,0.4429703950881958,0.8771928548812866,0.999666690826416,1.0161625146865845,-0.0004768991348100826,-0.0012593382562045008,-0.0013964342651888728,1.0018991827964783,-0.005058106034994125,-0.004369141883216798,-0.005583376623690128,-0.0022619200171902776,-0.0026297220028936863,-0.002241423004306853,-0.0015771114267408848,-0.0013542628148570657,-0.0013887825480196625,-0.0037628982681781054,-0.00484304188285023,1.0817207098007202,-0.0027258252957835793,-0.0030792022007517517,-0.0011521696869749576,-0.0016731440264265984,-0.0020037650247104466,1.0222232341766357,-0.00530905113555491,1.1348576545715332,-0.004131754976697266,-0.004189551807940006,-0.002898368809837848,-0.0014082479465287179,-0.002405942534096539,-0.0019908409449271858,-0.0020734952995553613,-0.0027660030755214393,-0.005444178474135697,-0.00041573641647119075,-0.0016604327538516372,-0.0033598720328882337,-0.003252576570957899,-0.005911806714721024,1.0604429244995117,0.49851667881011963,-0.004922291613183916,-0.002289837517309934,-0.0008367764530703425,-0.006056320737116039,-0.004145381273701787,-0.002360747952479869,-0.0021875076345168054,-0.004308113944716752,1.019879937171936,-0.004522389150224626,-0.003926781937479973,-0.004631675430573523,-0.0022106056567281485,-0.002647530927788466,-0.0030103083117865026,-0.00519155350048095,-0.0027856826782226562,-0.0046026468044146895,-0.0020670401863753796,-0.003345216333400458,-0.003272019501309842,-0.005324332509189844,-0.0034510563709773123,-0.003947096294723451,-0.0043011283269152045,-0.004555179853923619,-0.0037154268356971443,-0.004031716380268335,-0.002820420195348561,-0.004647748428396881,-0.0024649083497934043,-0.005076835164800286,1.0073564052581787
max,0.9958233833312988,1.4365649223327637,1.933640956878662,0.5215916633605957,0.35715484619140625,0.996772289276123,3.870161294937134,1.7373032569885254,2.3815383911132812,1.2855143547058105,0.3182036876678467,1.6585655212402344,5.042209625244141,1.6257596015930176,1.4561424255371094,1.667229413986206,0.4552617073059082,0.20920205116271973,0.5000829696655273,0.06663897633552551,0.2940506935119629,0.11991691589355469,1.785675287246704,1.8012261390686035,1.4219450950622559,1.5961341857910156,0.4863438606262207,0.2238985300064087,1.446458339691162,3.389754295349121,1.4454152584075928,0.34839487075805664,5.882047653198242,3.513443946838379,1.468977451324463,1.5238971710205078,0.23728513717651367,1.4753270149230957,1.8426387310028076,0.12988227605819702,0.2364138662815094,0.3923969268798828,1.2806100845336914,0.3289475440979004,1.712594985961914,1.802581787109375,0.5923681259155273,1.225264549255371,1.2377409934997559,2.2588236331939697,1.2922072410583496,1.7025604248046875,2.1816110610961914,0.6449810266494751,1.6467013359069824,1.950901746749878,0.4353909492492676,1.7880010604858398,0.9313399791717529,0.181596040725708,0.4339151382446289,0.18240904808044434,0.7644314765930176,0.19437871873378754,0.3124547004699707,0.3119533061981201,0.5495662689208984,0.15523290634155273,0.06674671173095703,0.5961437225341797,0.37247705459594727,0.19850921630859375,1.5221141576766968,0.4454679489135742,0.352502703666687,1.0220789909362793,0.4807858467102051,0.3480754494667053,0.5678219795227051,0.18772673606872559,0.2453460693359375,1.1767592430114746
