,age,fnlwgt,education-num,race,sex,capital-gain,capital-loss,hours-per-week,workclass=Federal-gov,workclass=Local-gov,workclass=Private,workclass=Self-emp-inc,workclass=Self-emp-not-inc,workclass=State-gov,workclass=Without-pay,education=10th,education=11th,education=12th,education=1st-4th,education=5th-6th,education=7th-8th,education=9th,education=Assoc-acdm,education=Assoc-voc,education=Bachelors,education=Doctorate,education=HS-grad,education=Masters,education=Preschool,education=Prof-school,education=Some-college,marital-status=Divorced,marital-status=Married-AF-spouse,marital-status=Married-civ-spouse,marital-status=Married-spouse-absent,marital-status=Never-married,marital-status=Separated,marital-status=Widowed,occupation=Adm-clerical,occupation=Armed-Forces,occupation=Craft-repair,occupation=Exec-managerial,occupation=Farming-fishing,occupation=Handlers-cleaners,occupation=Machine-op-inspct,occupation=Other-service,occupation=Priv-house-serv,occupation=Prof-specialty,occupation=Protective-serv,occupation=Sales,occupation=Tech-support,occupation=Transport-moving,relationship=Husband,relationship=Not-in-family,relationship=Other-relative,relationship=Own-child,relationship=Unmarried,relationship=Wife,native-country=Cambodia,native-country=Canada,native-country=China,native-country=Columbia,native-country=Cuba,native-country=Dominican-Republic,native-country=Ecuador,native-country=El-Salvador,native-country=England,native-country=France,native-country=Germany,native-country=Greece,native-country=Guatemala,native-country=Haiti,native-country=Holand-Netherlands,native-country=Honduras,native-country=Hong,native-country=Hungary,native-country=India,native-country=Iran,native-country=Ireland,native-country=Italy,native-country=Jamaica,native-country=Japan,native-country=Laos,native-country=Mexico,native-country=Nicaragua,native-country=Outlying-US(Guam-USVI-etc),native-country=Peru,native-country=Philippines,native-country=Poland,native-country=Portugal,native-country=Puerto-Rico,native-country=Scotland,native-country=South,native-country=Taiwan,native-country=Thailand,native-country=Trinadad&Tobago,native-country=United-States,native-country=Vietnam,native-country=Yugoslavia,income-per-year
count,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0
mean,-14669999.0,276197638144.0,-50648520.0,-13645952.0,-25684832.0,-54838408.0,-12129809.0,-58931588.0,-39439576.0,-81595952.0,-29972668.0,-14072886.0,-12358209.0,-9155805.0,-41498084.0,-48449904.0,-15287294.0,-20607560.0,-47025732.0,-115316424.0,-72931544.0,-21001120.0,-37416024.0,-8585743.0,-7591839.5,-704356.0625,-39177564.0,-14950122.0,-214715.0625,-54139284.0,-18785738.0,-5047516.5,-12895867.0,-17671680.0,-9588538.0,-6121033.0,-20591478.0,-118042480.0,-27200080.0,-8094501.5,-47416764.0,-53784628.0,-23907300.0,-11922949.0,-2923950.25,-12122443.0,-32549018.0,-14538741.0,-8519674.0,-28056098.0,-561175.8125,-26266860.0,-90273232.0,-7853257.5,-1789321.375,-5161404.5,-25913562.0,-50097448.0,-6822436.0,-15987186.0,-7764405.0,-168775296.0,-57330824.0,-7074775.0,-9465077.0,-2935938.0,-9831453.0,-10081014.0,-29791792.0,-33629316.0,-9299058.0,-23481778.0,-7648761.0,-18650960.0,-80678392.0,-10497205.0,-12838791.0,-55369388.0,-28506294.0,-21905838.0,-112957864.0,-108166432.0,-11225458.0,-73557240.0,-60426852.0,-1480778.875,-8370708.5,-51771184.0,-1971383.25,-11897157.0,-1093627.0,-16533052.0,-42255796.0,-130389104.0,-43641376.0,-10651409.0,-21031544.0,-60204016.0,-18167300.0,-42342756.0
std,8306547.0,154268467200.0,28295616.0,7638141.5,14361289.0,30603734.0,13412217.0,32929740.0,22053408.0,45621152.0,16776816.0,7879615.5,6877158.0,6736909.0,23221608.0,27082884.0,8526292.0,16814096.0,26275506.0,64424556.0,40774164.0,11728190.0,20893202.0,4802177.5,5398737.5,38391056.0,21900872.0,13205979.0,140858.640625,30222740.0,10522956.0,3815751.5,8336402.5,9894805.0,5348414.5,5431569.0,11518808.0,65966520.0,15235357.0,4903567.5,26525676.0,30029984.0,17072052.0,20547676.0,8179858.5,6776393.5,18198542.0,11746887.0,7304706.5,15995456.0,363855.5,14731435.0,50469808.0,6087519.5,1012250.1875,2982599.25,14544857.0,27982682.0,19336662.0,8945084.0,6485482.0,94283832.0,32037078.0,13063880.0,5757338.5,26687418.0,6287257.5,11176157.0,16634580.0,18786230.0,5333842.5,13159974.0,4285004.0,10448295.0,45060056.0,5881014.0,7144440.0,30952736.0,15965372.0,12444402.0,63063644.0,60392004.0,6262136.5,41083864.0,33750824.0,62079532.0,17456288.0,28991908.0,1101797.125,7440296.5,1747157.375,9262993.0,23603510.0,72833384.0,24422378.0,14975695.0,11760783.0,33609688.0,11034591.0,23657942.0
min,-86374328.0,19914244096.0,-297103232.0,-80171576.0,-150776208.0,-321341888.0,-73516248.0,-345754400.0,-231531920.0,-478972800.0,-176097136.0,-82699392.0,-72042296.0,-54511088.0,-243760608.0,-284350496.0,-89520648.0,-123108296.0,-275887840.0,-676454208.0,-428088192.0,-123148528.0,-219383696.0,-50413776.0,-45147488.0,-19850272.0,-229941440.0,-89540504.0,-1648339.125,-317345952.0,-110430072.0,-30073784.0,-76436240.0,-103850808.0,-56155492.0,-36664788.0,-120923256.0,-692625536.0,-159889200.0,-47842868.0,-278462432.0,-315321792.0,-142208112.0,-74848112.0,-19413108.0,-71146696.0,-191064688.0,-86823176.0,-50972608.0,-165288912.0,-4180952.0,-154473536.0,-529883776.0,-46833516.0,-10256347.0,-29376238.0,-152419216.0,-293820896.0,-45410148.0,-93899376.0,-46417856.0,-989981824.0,-336378976.0,-44692376.0,-55952740.0,-27043420.0,-58246420.0,-61110604.0,-174667280.0,-197255680.0,-54805484.0,-138070016.0,-44965752.0,-109644120.0,-473137472.0,-61713528.0,-74739672.0,-324977792.0,-167552608.0,-129015888.0,-662183680.0,-634130880.0,-65750136.0,-431385952.0,-354387904.0,-33885628.0,-53527624.0,-304274720.0,-11567662.0,-70424760.0,-6813335.0,-97201408.0,-247838320.0,-764756416.0,-256361760.0,-65720632.0,-123472112.0,-352909760.0,-107397216.0,-248405040.0
25%,-18469484.0,169773817856.0,-63599109.0,-17143392.0,-32272707.0,-68888672.0,-15707614.25,-74013686.0,-49556524.0,-102529276.0,-37654656.0,-17683830.0,-15525454.25,-11649680.25,-52140832.0,-60869117.0,-19214029.5,-26310082.0,-59057475.0,-144804428.0,-91638344.0,-26393872.5,-47019754.0,-10787351.5,-9648668.75,-4207709.125,-49221996.0,-19133414.0,-267008.1171875,-68032328.0,-23613378.0,-6426984.625,-16342544.0,-22206374.0,-12052877.25,-7834756.5,-25874155.5,-148266480.0,-34188836.0,-10229147.0,-59583149.0,-67582126.0,-30392070.0,-15978584.0,-4141832.5,-15229830.25,-40898906.0,-18555527.0,-10893518.75,-35343584.0,-699537.171875,-33031036.0,-113429066.0,-10008992.75,-2234541.5,-6425709.375,-32591638.0,-62948399.0,-9687717.0,-20086249.0,-9920241.75,-211970492.0,-72006622.0,-9541004.0,-11963008.0,-5745487.0,-12453308.0,-13056875.25,-37435844.0,-42237396.0,-11719364.0,-29523468.0,-9615131.0,-23444978.0,-101406116.0,-13196286.0,-16129697.0,-69565928.0,-35827528.0,-27587470.0,-141958128.0,-135934836.0,-14099159.0,-92456920.0,-75931598.0,-7183252.25,-11424670.0,-65062512.0,-2475497.5625,-15057316.0,-1455899.125,-20784780.0,-53087878.0,-163812932.0,-54830562.0,-14041392.25,-26426711.0,-75656376.0,-22962216.0,-53174362.0
50%,-13915732.5,261749137408.0,-47995164.0,-12928097.0,-24328746.0,-52013654.0,-11820544.5,-55837916.0,-37356884.0,-77285984.0,-28396564.0,-13331349.0,-11696073.5,-8775878.5,-39313004.0,-45898824.0,-14491976.0,-19818100.0,-44566382.0,-109276976.0,-69087836.0,-19905188.0,-35460162.0,-8133748.5,-7268199.0,-3172817.5,-37116314.0,-14411968.0,-196335.1953125,-51339336.0,-17798390.0,-4842025.75,-12309502.5,-16741399.0,-9090714.0,-5901313.0,-19509106.0,-111824572.0,-25771490.0,-7704702.75,-44925664.0,-50987028.0,-22894139.0,-12032045.5,-3116537.125,-11484325.5,-30829878.0,-13976869.0,-8204438.0,-26628902.0,-514579.109375,-24890398.0,-85516360.0,-7539802.5,-1679075.3125,-4821958.5,-24557225.0,-47478264.0,-7289718.5,-15143771.5,-7472515.5,-159925584.0,-54320622.0,-7182077.25,-9010791.5,-4331228.25,-9380122.5,-9825763.5,-28241631.0,-31865334.0,-8829300.5,-22247248.0,-7245882.0,-17668745.0,-76454016.0,-9944649.5,-12146564.0,-52456674.0,-27010478.0,-20785076.0,-107114624.0,-102556640.0,-10643961.0,-69707452.0,-57265356.0,-5417319.25,-8601932.5,-49050932.0,-1866738.5,-11341445.5,-1096215.125,-15662083.5,-40036808.0,-123541672.0,-41345230.0,-10566292.0,-19921795.0,-57092692.0,-17295560.0,-40128120.0
75%,-8997753.0,347150458880.0,-31136455.0,-8380414.25,-15770936.0,-33790206.0,-7591027.125,-36208504.0,-24217914.0,-50087586.0,-18409753.5,-8638158.25,-7654720.25,-5648467.625,-25483748.0,-29742571.0,-9415611.5,-12741112.25,-28892967.5,-70891100.0,-44777119.0,-12912101.0,-23015853.0,-5273339.75,-4682158.875,-2019426.125,-24050738.5,-9258884.0,-128880.74609375,-33328315.0,-11529460.5,-3115466.625,-7942760.75,-10847779.0,-5906175.5,-3789526.25,-12644458.5,-72497968.0,-16693229.5,-4972987.125,-29111948.0,-33104160.0,-14744600.25,-7724574.375,-2004245.125,-7442302.375,-19980578.5,-8987916.0,-5272467.0,-17204447.0,-335572.53125,-16127784.25,-55411489.0,-4849967.625,-1098336.5,-3152544.3125,-15913179.0,-30803731.0,-4670783.5,-9816581.5,-4801398.5,-103757284.0,-35210047.0,-4613960.875,-5815908.625,-2767536.25,-6052546.125,-6310042.5,-18337587.0,-20673965.0,-5704671.0,-14415143.25,-4694701.0,-11447346.25,-49604923.0,-6443280.875,-7954340.5,-33991786.0,-17493294.0,-13428900.25,-69538700.0,-66556347.0,-6913838.75,-45225769.0,-37153427.0,-3450364.4375,-5519666.0,-31767789.5,-1209907.09375,-7320277.0,-704680.9375,-10148365.0,-25981195.5,-80171246.0,-26801089.0,-6785948.0,-12914942.5,-37065544.0,-11163378.75,-26015985.5
max,66471344.0,1619838763008.0,-3652536.0,-796833.75,-1830281.375,-3950631.0,507662496.0,-4250659.0,-2790067.75,-5888307.5,-1773270.875,-609865.875,-885762.6875,209477440.0,-2588648.5,-3495729.75,-1100548.5,572500416.0,-3391713.25,-8316236.0,-5262709.5,-1514031.375,-2697002.75,-581681.4375,161093792.0,784387392.0,-2826838.0,471539968.0,-14556.4599609375,-3901439.25,-327113.625,122027248.0,209277840.0,-840534.6875,-690389.6875,194390976.0,-1361900.125,-8515046.0,-708148.4375,97588184.0,-3120892.5,-3876499.75,512131008.0,734964224.0,262201088.0,-874655.875,-2348903.25,397199008.0,256668640.0,164750336.0,-38222.46484375,25307764.0,-6514210.5,199187648.0,-126112.5390625,-361430.15625,40130668.0,-3612205.25,617997248.0,-1009150.9375,224302976.0,-12170726.0,-4135366.25,460447488.0,117071344.0,653224896.0,153434144.0,423073504.0,-2147327.75,-2425061.5,62992392.0,6831627.0,-54127.73046875,-212086.15625,-5816727.5,-70863.765625,-918995.3125,-3995145.75,-831437.6875,114393888.0,-8140944.0,-7796046.5,-808343.8125,-5303359.0,-4356779.0,1284895104.0,598918208.0,-2006244.625,-139050.390625,169473056.0,63445488.0,-46886.6484375,-3046894.75,-9401823.0,-2691099.75,556376576.0,-1478674.875,-4338662.5,222626464.0,-3053846.0
