,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
count,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0
mean,-58569066.58910672,276955345086.2323,-131964540.369546,240654281.4301297,-93988047.98732312,-111998313.30277123,-33799624.62895047,-31300740.880940445,-23472997.194472287,-64220777.120430425,-213162823.9351415,-80050619.56574292,-22591904.285906546,-173379867.30630895,-252889334.4083137,-45052440.85390625,-131315118.1170401,-220598578.82974645,-184236798.067217,-285024124.7001769,-2096140.2327921581,-66515204.71130601,-201135855.47774175,-108471808.47015035,-237957754.9245283,-30054379.669133257,-150202231.16524175,-422904665.8366745,-35127723.388133846,-129914935.94826062,-613142088.4678656,-257288160.11615565,-53428641.35417158,-225486904.43086675,-60954784.79650649,-81891354.17533903,-154878904.68396226,-199622319.8173644,-443114300.6795401,-214288970.4899764,-19631214.250899177,-71661488.59949882,-224833186.2520637,-172530577.92836085,-50657565.26509434,-88163137.60546875,-161859243.56942806,-71287799.4397848,-192243643.7573703,-188553500.2420401,-200414353.42113796,-77601705.31905955,-136737489.43366745,-301459329.0589623,-95871991.10627948,-301426700.104658,-240239362.5958137,-206799283.47847876,-149622694.9346993,-53048742.18898879,-68281372.643352,-5435682.9835333135,-138782937.33667454,-97655490.182046,-66920521.17681309,-187463964.2212559,-40021276.05316922,-43996972.5153803,-207226077.99557784,-127102603.3045401,-81927663.16811615,-97181297.20496757,-115599804.79002063,-8577423.380365565,-194153449.24100825,-250419217.6901533,-25302470.323372643,-269305689.1255896,-138330982.44973466,-29363768.92912736,-194652270.3938679,-34316368.00574882,-266296262.73584905,-157199674.75604364,-292953163.3004127,-102627334.64534198,-94978785.00928655,-252958330.43337265,-232272876.5698703,-206650595.66597876,-99226163.8542895,-88622164.7446197,-209332136.2712264,-59023247.44295401,-79212295.82893573,-76105227.31051002,-140238154.7106427,-51915972.689607896,-128392493.88192807,-407808761.1058373
std,32725699.255702317,154773707592.10144,73734426.00265765,134467200.10857075,52531448.26538461,62579267.1702602,18903204.121829882,17461564.04844758,13125677.939150702,35844606.17962795,119100518.04667711,44676966.111217126,21822714.26065775,96816868.94815911,141334794.78232828,25207664.2217124,73375885.77980384,123342811.94195347,102935791.73670751,159280773.90099457,16159325.2624116,37149711.543512665,112467960.46354823,60609070.49531601,132918393.28463398,16765077.851461688,83970167.79413322,236316728.92992014,19602151.77381633,72629486.4201841,342635184.2165024,143795340.45260513,29873738.56619978,126057599.71300025,34057397.01767546,45793951.35436894,86528157.37768698,111507375.23757794,247659410.81350124,119786253.12572435,13947918.577466223,40052368.67581617,125664629.42849073,96410354.16051453,28374403.465931915,49208054.116163455,90484230.08967403,39748768.48550182,107489864.40108019,105356335.04564254,111921665.92298004,43435792.137008175,76331728.80526452,168431477.36878237,53471037.99712378,168392965.31024832,134278075.3797771,115476834.6483228,83520368.31080255,29598966.619512442,38132697.37565091,3025542.296007414,77528480.2607156,54489252.30278126,37423687.916751236,104819874.6027564,22360291.18189542,26629488.96853202,115803484.5761203,71053673.75084144,45758125.79199144,54311915.711334646,64626657.824304596,4800539.315011281,108543653.8011823,139851810.5349006,14176658.33709807,150521214.25871938,77325809.64315753,16376765.32739956,108785792.78763384,19170130.21089862,148833986.7908843,87851429.55771115,163628461.1344709,57359873.08259489,53028723.67034512,141309962.29453906,129825152.49759498,115487997.49631137,55355132.99278857,49453354.21578426,116985767.00267951,32892509.41180169,44177028.24041642,42455594.05006587,78286220.38931447,28925727.398136787,71767415.4028525,227879708.18016133
min,-343594560.0,19978553000.0,-774186100.0,17151612.0,-551518460.0,-657029000.0,-198431100.0,-183325200.0,-137828380.0,-376346530.0,-1250562600.0,-469078400.0,-135553980.0,-1016621200.0,-1483941200.0,-264584800.0,-770416200.0,-1294980500.0,-1080792400.0,-1672376000.0,-16993482.0,-390044700.0,-1180748700.0,-636344700.0,-1395613400.0,-176035550.0,-881628900.0,-2481237200.0,-205776910.0,-762506050.0,-3597548300.0,-1509760400.0,-313656420.0,-1323493400.0,-357546780.0,-480737570.0,-908503700.0,-1170858800.0,-2600300500.0,-1257694600.0,-116500890.0,-420549630.0,-1319392400.0,-1012307140.0,-297807330.0,-516718620.0,-949985340.0,-417325000.0,-1128547100.0,-1106184200.0,-1175162800.0,-455919100.0,-801507300.0,-1768474100.0,-561428200.0,-1768130000.0,-1409813400.0,-1212535900.0,-876998400.0,-310751800.0,-400370140.0,-31709834.0,-814001600.0,-572150800.0,-392923780.0,-1100516700.0,-234722240.0,-259851550.0,-1215936000.0,-745957700.0,-480416770.0,-570236300.0,-678487940.0,-50390056.0,-1139580800.0,-1468458600.0,-148772130.0,-1580356900.0,-811824450.0,-171962030.0,-1142196200.0,-201291730.0,-1562650900.0,-922386300.0,-1718075600.0,-602221800.0,-556754050.0,-1483720000.0,-1363115900.0,-1212544900.0,-581198200.0,-519249860.0,-1228287000.0,-345289180.0,-463826430.0,-445712960.0,-822021400.0,-303631230.0,-753470140.0,-2392652300.0
25%,-73551308.0,170099787500.0,-165725590.0,148865812.5,-118060410.0,-140646497.5,-42473538.0,-39311357.5,-29491297.0,-80680730.0,-267700847.5,-100560504.0,-28970099.0,-217889477.5,-317658975.0,-56613958.0,-164918577.5,-277205002.5,-231359015.0,-357996207.5,-3622940.45,-83597025.0,-252751940.0,-136218520.0,-299022172.5,-37748332.5,-188725382.5,-531144480.0,-44125831.0,-163225170.0,-770106825.0,-323185770.0,-67137160.0,-283312930.0,-76579231.5,-102907840.5,-194509550.0,-250784560.0,-556631550.0,-269227690.0,-24911078.0,-90024652.5,-282434940.0,-216698852.5,-63679290.0,-110773576.0,-203357855.0,-89571800.0,-241573285.0,-236794432.5,-251869105.0,-97507717.5,-171826060.0,-378567187.5,-120500952.5,-378493395.0,-301790720.0,-259879532.5,-188010140.0,-66636276.0,-85810087.5,-6833068.75,-174385985.0,-122657020.0,-84084925.0,-235568495.0,-50307208.0,-55563330.0,-260288830.0,-159682955.0,-102966247.5,-122067240.0,-145240077.5,-10782314.25,-243943740.0,-314730332.5,-31811626.0,-338297962.5,-173782622.5,-36908798.5,-244503440.0,-43109617.5,-334507740.0,-197450062.5,-368230315.0,-128914178.5,-119356350.0,-317793437.5,-291794602.5,-259562610.0,-124629792.5,-111316270.0,-262932585.0,-74157651.5,-99552331.0,-95664735.0,-176224200.0,-65261298.5,-161291030.0,-512181542.5
50%,-55505720.0,262384075000.0,-125065144.0,226968590.0,-89046945.0,-106139064.0,-32018449.0,-29677454.0,-22233927.0,-60913603.0,-202021070.0,-75926750.0,-21821954.0,-164321660.0,-239532880.0,-42681898.0,-124443390.0,-208955820.0,-174595620.0,-270055800.0,-2725039.4,-63044802.0,-190523570.0,-102797690.0,-225516565.0,-28497460.0,-142283865.0,-400728090.0,-33312020.0,-123058788.0,-580933225.0,-243700200.0,-50611076.0,-213595285.0,-57759524.0,-77570900.0,-146763360.0,-189145340.0,-419731360.0,-202976125.0,-18772212.0,-67877587.0,-212933360.0,-163467675.0,-47995356.0,-83626230.0,-153315570.0,-67563730.0,-182100430.0,-178697470.0,-189947480.0,-73520170.0,-129665320.0,-285686530.0,-90886542.0,-285630700.0,-227525950.0,-196053120.0,-141881770.0,-50305927.0,-64735117.0,-5147145.0,-131530495.0,-92622395.0,-63392300.0,-177577500.0,-37928640.0,-41866316.0,-196296045.0,-120392095.0,-77652107.0,-92060905.0,-109499340.0,-8127499.25,-183914050.0,-237354295.0,-23974507.0,-255095620.0,-131018140.0,-27837935.0,-184373165.0,-32517412.0,-252237630.0,-148947255.0,-277623085.0,-97208460.0,-90069920.0,-239686240.0,-219989725.0,-195802120.0,-94087190.0,-84058598.0,-198336680.0,-55901482.0,-75090323.0,-72154000.0,-132984390.0,-49167138.0,-121606507.0,-386423905.0
75%,-35995409.0,347869492500.0,-81085275.0,301732070.0,-57728651.5,-68834170.0,-20750503.5,-19279394.5,-14413216.25,-39577581.0,-130971844.0,-49324907.0,-14055032.5,-106598717.5,-155319795.0,-27668110.0,-80682832.5,-135420252.5,-113245602.5,-175057955.0,-1743196.7750000001,-40895376.0,-123474573.0,-66656340.0,-146308215.0,-18510670.5,-92194722.5,-259844842.5,-21637880.5,-79756905.0,-376626562.5,-158020620.0,-32800062.5,-138435442.5,-37474068.0,-50272145.0,-95214750.0,-122716536.0,-272153185.0,-131552835.0,-12163385.0,-43988790.0,-138090515.0,-105964095.0,-31092806.0,-54316207.0,-99366941.0,-43973895.0,-118015761.0,-115855148.0,-123229330.0,-47655472.0,-84222685.0,-185267357.5,-59048375.5,-185305452.5,-147539697.5,-127160150.5,-92170400.0,-32676387.0,-41994329.5,-3369369.1000000006,-85314664.0,-60163314.5,-41089402.0,-115084567.5,-24600928.0,-27125750.5,-127272157.5,-78025902.5,-50370770.0,-59686970.0,-70968800.0,-5267172.0,-119198322.5,-153965090.0,-15532674.0,-165403642.5,-84915555.0,-18086139.5,-119551818.5,-21097214.0,-163554110.0,-96550985.5,-180071810.0,-63031315.0,-58460146.0,-155507120.0,-142579857.5,-126922797.5,-61120573.0,-54602998.0,-128569510.0,-36465849.5,-48786729.5,-46877949.0,-86351749.5,-32081937.0,-78813607.5,-250568165.0
max,-4224187.0,1625069500000.0,-9517884.0,1394835100.0,-6780491.5,-8077571.5,-2190366.2,-2253631.8,-1694511.0,-4626560.0,-15374315.0,-5766658.5,806603500.0,-12498122.0,-18243644.0,-1187169.1,-9471312.0,-15920604.0,-13287189.0,-20560204.0,609643100.0,-4795029.0,-14369253.0,-7823053.5,-17157444.0,-2164213.5,-10838826.0,-30504246.0,-2529785.0,-9374229.0,-44228056.0,-18560914.0,-3856101.0,-16271177.0,-4395555.5,-5748933.5,-11169084.0,-14394441.0,-31968110.0,-15462146.0,441494980.0,-5170122.0,-16220533.0,-12445339.0,-2710374.0,-6352460.0,-11679047.0,-5130221.5,-13874448.0,-13599362.0,-14447157.0,-4655441.5,-9853417.0,-21741514.0,-6901893.0,-21737166.0,-17332122.0,-14906665.0,-10781692.0,-3820320.0,-4922049.0,-389882.4,-10007270.0,-7033908.5,-4723892.0,-13505476.0,-2384537.2,528119550.0,-14948789.0,-9170671.0,-5906064.5,-7010428.0,-8341340.5,-520391.6,-14009961.0,-18052902.0,-913829.56,-19428878.0,-9980525.0,-2114057.5,-14042194.0,-2474781.2,-19211214.0,-11339883.0,-21121924.0,-7403599.0,-6844498.0,-18240548.0,-16758238.0,-14907017.0,-7144885.0,-6383382.5,-15100638.0,-4244662.0,-5701918.0,-5479309.5,-10105774.0,-3732516.5,-9263010.0,-29415016.0
