,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
count,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0
mean,-427767131.6300118,276838187005.454,-69306474.30608785,-226460140.7946639,-162754393.05365565,-137524380.4509139,-435026429.4472288,-4846156.326263267,-149178876.88163325,-79216605.87411557,-253423462.91067216,-132233785.02520637,-11955588.533113208,-468673962.974941,-288396963.4587264,-196623172.63693985,-209147362.35849056,-134832865.6842571,-320475497.6730542,-152739668.9501769,-279253318.6049528,-693795035.0309552,-418067268.2393868,-57611424.88133844,-105979329.97272995,-105765401.10826945,-342507361.084316,-305112976.8806014,-102160695.18823703,-275055339.8576061,-333297342.2417453,-607541078.4180424,-169709290.29761204,-612576783.785967,-458286059.6373821,-1087025621.421875,-212209409.1332547,-395909835.0731132,-402875136.5277123,-144230385.29540095,-11394077.839793632,-554376637.3932784,-104169934.60767983,13605037.3696495,-507170872.2653302,-149321423.45695755,-302703768.2169811,-129266067.8073408,-574928176.7517688,-396723871.6606722,-399606016.4873231,-246899602.88915095,-320924182.3885613,-212210785.177329,-85683332.5965507,-83428381.6181751,-178988368.2267099,-295432106.1556604,-546956828.153007,-507805783.5834316,-100927970.58284198,-396546558.5501179,-609458927.8189858,-198637917.12868515,-322721167.0922759,-257688937.70459905,-109374633.9299086,-718672703.8629128,-118779333.82414505,-531241377.4274764,-160954541.29775944,-255569687.89150944,-199879315.84728774,-84030393.63480248,-92085026.72912736,-263850012.96020046,-417918123.0772406,-9786259.957614977,-146934462.2141804,-351153914.4548939,-192424538.71462265,-255154599.2034198,-292097142.5857901,-129340340.70371462,-269770179.0648585,-160742547.6068691,-111411010.3123526,-287061908.9318986,-106576312.36645047,-165847309.26989976,-105937813.03559847,-485948306.3726415,-338648658.1494693,-553236205.3915094,-51841525.89224646,-180408994.90964034,-517573781.2393868,-116633293.1954599,-144876610.5185731
std,239066264.03588882,154683320360.4628,38638617.481839836,126486478.43341358,90847816.34644331,76795783.16264986,242939508.21555954,2738146.1624180903,83316011.81116223,44251969.61546585,141567186.6229535,73868318.75655694,6661170.889878161,261763305.22456652,161190357.1580215,109821001.93324372,116795507.28227241,75352219.48506662,178965918.16126993,85272328.36428913,156012464.5575661,387599700.7376823,233607732.1764717,32157802.437854476,59160783.438238285,59054570.715011485,191403577.29081056,170379432.31432074,57054590.20067337,153635258.22052905,186175155.40890712,339408569.679732,94726933.36030217,342231099.6641094,256121965.0158968,607388963.3523722,118530035.40087354,221245626.61675632,225029685.62255517,80503537.80573018,6343123.657903993,309714238.8129331,58126019.60024455,117345041.86899589,283387154.0385529,83345683.83738379,169128858.91039035,72231295.19004032,321157444.3946626,221587779.1838882,223335955.40899116,137934303.2163832,179189290.82483435,118495339.50745977,47860572.56070965,57999582.00480184,99949904.82548451,165169105.2518154,305537847.57905114,283667804.2134687,56349048.15658243,221522886.20660093,340581750.48945117,110965907.03616168,180197678.0937959,143917085.8096245,61153270.43253196,401572402.58749735,66336868.79677339,296877705.4631669,89934142.83121522,142785799.20388582,111653687.33284432,46864847.43420773,51545669.89505524,147479561.07784432,233566435.372733,5492226.410898462,82152194.5834455,196091018.77360943,107593295.45576735,142462071.14411288,163240400.48879427,72330766.60782214,150722662.22108072,89866045.00047559,62274470.28781797,160409712.16368645,59559203.75778084,92664532.70915705,59226397.313348465,271499438.47676337,189238151.73367614,309108533.42911,28930913.730098642,100757841.54929864,289202155.8263918,65137028.512552015,80961098.04283592
min,-2510091800.0,19967097000.0,-405635260.0,-1328132600.0,-953896100.0,-806368200.0,-2550893800.0,-27812636.0,-874793400.0,-464625100.0,-1486438000.0,-775634370.0,-69875790.0,-2748542200.0,-1692386600.0,-1153094100.0,-1226320900.0,-791164350.0,-1879127800.0,-895373100.0,-1638081200.0,-4069775600.0,-2452794000.0,-337634370.0,-621216000.0,-620063300.0,-2009628700.0,-1789006000.0,-599062100.0,-1613150700.0,-1954787300.0,-3563785200.0,-994642940.0,-3593357000.0,-2689191700.0,-6377432600.0,-1244519000.0,-2322996500.0,-2362807300.0,-845319200.0,-66455464.0,-3251963400.0,-610250700.0,-3530780.8,-2975485700.0,-875072830.0,-1775820800.0,-758384100.0,-3372134000.0,-2326702300.0,-2344868900.0,-1448261400.0,-1881555700.0,-1244208900.0,-502516200.0,-495639400.0,-1049438400.0,-1734118900.0,-3208123100.0,-2978521300.0,-591690300.0,-2325947100.0,-3575990800.0,-1165116200.0,-1892052600.0,-1511097600.0,-642052000.0,-4216396500.0,-696561800.0,-3117166300.0,-944227460.0,-1499223800.0,-1172335500.0,-491964350.0,-541021000.0,-1548419600.0,-2452316000.0,-57620024.0,-862522600.0,-2059028700.0,-1129657700.0,-1495804400.0,-1713936900.0,-759420200.0,-1582564200.0,-943506700.0,-653882750.0,-1684246800.0,-625356800.0,-972969300.0,-621823200.0,-2850717200.0,-1986937200.0,-3245542100.0,-303811520.0,-1058012700.0,-3036505900.0,-683911900.0,-850068900.0
25%,-537320995.0,170097977500.0,-87101720.0,-284559900.0,-204495620.0,-172826915.0,-546725925.0,-6055880.0,-187492010.0,-99515543.0,-318321085.0,-166060615.0,-15031445.5,-589087570.0,-362279425.0,-247139805.0,-262833607.5,-169360012.5,-402747845.0,-191949470.0,-350654482.5,-871193775.0,-525055430.0,-72382010.0,-133175660.0,-132896205.0,-430190175.0,-383432645.0,-128395462.5,-345742495.0,-418835697.5,-762879185.0,-213230820.0,-769209770.0,-575659645.0,-1365180600.0,-266734335.0,-497270650.0,-506241105.0,-181218690.0,-14316664.0,-696129350.0,-130859830.5,-737301.28,-636945025.0,-187597540.0,-380139960.0,-162342670.0,-722272300.0,-498519025.0,-501953245.0,-310020650.0,-403268682.5,-266668022.5,-107703352.5,-105970267.5,-224923700.0,-371212675.0,-687143710.0,-637910650.0,-126815369.5,-498128180.0,-765492132.5,-249421197.5,-405518400.0,-323869485.0,-137440567.5,-902579840.0,-149246090.0,-667274270.0,-202125905.0,-320930270.0,-251099880.0,-105591738.0,-115690414.5,-331461907.5,-524953297.5,-12319574.5,-184626630.0,-441305537.5,-241794875.0,-320669500.0,-366892562.5,-162494477.5,-338770180.0,-201970890.0,-139972355.0,-360537560.0,-133866296.0,-208277490.0,-133110360.0,-610236700.0,-425332380.0,-694754417.5,-65130744.0,-226691005.0,-650008192.5,-146581150.0,-181969520.0
50%,-405170240.0,262370435000.0,-65671412.0,-214612370.0,-154393625.0,-130380620.0,-412314220.0,-4551640.0,-141397520.0,-75057452.0,-240125180.0,-125299250.0,-11323990.0,-444135985.0,-273146335.0,-186381115.0,-198216095.0,-127712785.0,-303732700.0,-144835335.0,-264622050.0,-657448080.0,-396164610.0,-54651096.0,-100487733.0,-100256925.0,-324526895.0,-289166320.0,-96829590.0,-260668900.0,-315873600.0,-575708300.0,-160988865.0,-580485535.0,-434079970.0,-1030236520.0,-201101370.0,-375118315.0,-381804990.0,-136787290.0,-10787236.5,-525335410.0,-98790183.0,-548632.9199999999,-480672065.0,-141635960.0,-286873390.0,-122512310.0,-544747900.0,-375970915.0,-378549295.0,-233957780.0,-304225950.0,-201174385.0,-81224820.0,-79805545.0,-169689480.0,-279865050.0,-518253310.0,-481162610.0,-95677247.0,-375742920.0,-577452330.0,-188217420.0,-305941470.0,-244246655.0,-103600693.0,-681085900.0,-112577365.0,-503206120.0,-152534520.0,-242190755.0,-189383625.0,-79647638.0,-87244940.0,-249895705.0,-395844415.0,-9276810.0,-139174990.0,-332811500.0,-182269535.0,-241951775.0,-276667215.0,-122520470.0,-255653610.0,-152287870.0,-105547420.0,-272052475.0,-100942950.0,-157177100.0,-100354685.0,-460516350.0,-320851360.0,-524297860.0,-49156234.0,-170963835.0,-490529760.0,-110544160.0,-137268500.0
75%,-262721690.0,347670760000.0,-42769699.5,-139239202.5,-100301631.5,-84587638.5,-267456590.0,-2977027.8500000006,-91720534.5,-48696839.0,-155792045.0,-81291197.5,-7383476.625,-288179770.0,-177128745.0,-120888639.5,-128577290.0,-82810078.5,-197022937.5,-94052540.0,-171671395.0,-426517440.0,-256869037.5,-35503470.5,-65279114.0,-65120145.0,-210412667.5,-187609130.0,-62810651.5,-169073085.0,-204879712.5,-373490757.5,-104589800.5,-376591205.0,-281465692.5,-667899637.5,-130475494.5,-243158680.0,-247712830.0,-88887082.5,-7058496.5,-340808110.0,-64169793.0,-324672.55000000005,-311618860.0,-92016675.0,-185993105.0,-79424870.0,-353429920.0,-243927692.5,-245437882.5,-151779757.5,-197529187.5,-130591655.0,-52668674.0,-51505200.0,-110088547.5,-181342037.5,-336240300.0,-312176030.0,-62127212.0,-243780200.0,-374317575.0,-122109214.0,-198626677.5,-158435852.5,-67141502.5,-441569735.0,-73026257.5,-326271875.0,-98926045.0,-157061582.5,-122871195.0,-51843690.0,-56560855.0,-162030090.0,-256676315.0,-5978085.25,-90218285.0,-215885390.0,-118131700.0,-157100040.0,-179395010.0,-79414810.0,-165748252.5,-98665303.0,-68394887.5,-176334337.5,-65469678.0,-101908157.5,-65026119.0,-298585092.5,-208075190.0,-339925257.5,-31949689.0,-110920232.0,-318021765.0,-71706880.0,-88980350.0
max,-30858864.0,1624142000000.0,-4986867.0,-16327815.0,-11727110.0,-9913591.0,-31360360.0,-341999.0,-10754697.0,-5711975.0,-18273968.0,-9535571.0,-859035.2,-33790310.0,-20805998.0,-14176261.0,-15075879.0,-9726496.0,-23101424.0,-11007641.0,-20138264.0,-50033452.0,-30154354.0,-4151040.0,-7637046.0,-7622800.5,-24706472.0,-21993820.0,-7364855.5,-19832114.0,-24032166.0,-43812812.0,-12228185.0,-44176444.0,-33060746.0,-78403730.0,-15300038.0,-28558744.0,-29047982.0,-10392134.0,-817078.3,-39979308.0,-7502369.0,1737855900.0,-36580340.0,-10758072.0,-21831838.0,-9323306.0,-41456470.0,-28604164.0,-28827932.0,-17804542.0,-23131614.0,-15296096.0,-6178134.5,1760892700.0,-12901936.0,-21319126.0,-39440364.0,-36617668.0,-7274142.5,-28594902.0,-43963060.0,-14323573.0,-23260710.0,-18577220.0,-7893393.5,-51835988.0,-8563256.0,-38322250.0,-11608458.0,-18431238.0,-14412358.0,-6048110.0,-1699125.4,-19036456.0,-30148658.0,-205107.2,-10550190.0,-25313384.0,-13662529.0,-18389352.0,-21070862.0,-8867163.0,-19455668.0,-11599337.0,-8038558.5,-20706272.0,-7687858.5,-11961313.0,-7644680.0,-35046260.0,-24427248.0,-39900276.0,-3734915.0,-13006965.0,-37330852.0,-8407686.0,-10450726.0
