,age,fnlwgt,education-num,race,sex,capital-gain,capital-loss,hours-per-week,workclass=Federal-gov,workclass=Local-gov,workclass=Private,workclass=Self-emp-inc,workclass=Self-emp-not-inc,workclass=State-gov,workclass=Without-pay,education=10th,education=11th,education=12th,education=1st-4th,education=5th-6th,education=7th-8th,education=9th,education=Assoc-acdm,education=Assoc-voc,education=Bachelors,education=Doctorate,education=HS-grad,education=Masters,education=Preschool,education=Prof-school,education=Some-college,marital-status=Divorced,marital-status=Married-AF-spouse,marital-status=Married-civ-spouse,marital-status=Married-spouse-absent,marital-status=Never-married,marital-status=Separated,marital-status=Widowed,occupation=Adm-clerical,occupation=Armed-Forces,occupation=Craft-repair,occupation=Exec-managerial,occupation=Farming-fishing,occupation=Handlers-cleaners,occupation=Machine-op-inspct,occupation=Other-service,occupation=Priv-house-serv,occupation=Prof-specialty,occupation=Protective-serv,occupation=Sales,occupation=Tech-support,occupation=Transport-moving,relationship=Husband,relationship=Not-in-family,relationship=Other-relative,relationship=Own-child,relationship=Unmarried,relationship=Wife,native-country=Cambodia,native-country=Canada,native-country=China,native-country=Columbia,native-country=Cuba,native-country=Dominican-Republic,native-country=Ecuador,native-country=El-Salvador,native-country=England,native-country=France,native-country=Germany,native-country=Greece,native-country=Guatemala,native-country=Haiti,native-country=Holand-Netherlands,native-country=Honduras,native-country=Hong,native-country=Hungary,native-country=India,native-country=Iran,native-country=Ireland,native-country=Italy,native-country=Jamaica,native-country=Japan,native-country=Laos,native-country=Mexico,native-country=Nicaragua,native-country=Outlying-US(Guam-USVI-etc),native-country=Peru,native-country=Philippines,native-country=Poland,native-country=Portugal,native-country=Puerto-Rico,native-country=Scotland,native-country=South,native-country=Taiwan,native-country=Thailand,native-country=Trinadad&Tobago,native-country=United-States,native-country=Vietnam,native-country=Yugoslavia,income-per-year
count,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0
mean,-183153.171875,276196589568.0,-994891.25,931936.875,-945276.8125,850951.25,565981.0,-937899.1875,-1345148.375,-925999.125,-651649.8125,-170008.84375,1718198.625,-37066.76953125,-294501.34375,-380819.84375,500341.25,-435773.8125,-137871.0,-668016.375,-498052.21875,-2092355.0,-385530.125,-254676.796875,-114325.8125,-438921.0625,-1846023.5,-361151.25,-532051.75,-2331633.5,4019233.75,1093511.375,-5843730.5,-3582820.25,-3329914.75,1402351.25,-304550.78125,-28987760.0,-3089607.75,-5940493.5,-1095592.25,-324155.6875,-137793.359375,-1770815.25,-775858.1875,-3461284.0,-436539.9375,2546019.5,-3812437.75,-576133.375,-8660487.0,-787310.3125,-648251.9375,-4584069.5,-342944.375,-150654.25,-240828.46875,1680588.25,2723299.5,-447886.0,-2623052.75,-2928380.75,886298.9375,-4037456.5,-1422652.125,-722153.375,-768013.875,-4566986.0,-8746716.0,-151476.078125,-12840673.0,-602211.9375,-38249912.0,-9189362.0,-1143551.75,-3803646.75,-1338630.375,-12430005.0,566535.1875,-2336029.25,2388573.25,-3480613.75,-32010622.0,-251242.84375,-2673910.0,2232382.25,-3256413.0,-638709.1875,-1920760.5,-663767.375,-2475946.25,-1692092.125,-11829537.0,-24055396.0,-684272.875,-7231728.5,-8448623.0,-3919737.25,-1663181.375,-9528826.0
std,557474.875,154368000000.0,695579.4375,23311110.0,528445.75,10290457.0,22869296.0,1353512.875,797533.25,980370.125,369668.34375,204506.515625,29108830.0,1498434.75,926790.375,239515.515625,9863120.0,388571.0,741887.75,691453.5625,357454.8125,1183493.75,655721.6875,332603.1875,499263.28125,688269.5625,1332569.375,545584.5,851046.0,1303913.625,42979744.0,1129608.75,3265249.5,2064015.75,1868152.625,35735148.0,564200.75,16198270.0,1771495.5,3313368.75,1054646.125,328753.9375,686061.875,985205.25,701820.4375,1963153.0,605371.625,54321996.0,2190545.75,442600.78125,4820882.5,1045669.5625,635246.625,2653612.5,696513.375,195550.203125,134016.953125,47667312.0,55295936.0,276665.15625,1531837.75,1629252.0,23591390.0,2364318.75,1123617.375,434962.09375,747615.1875,2545558.5,4869089.5,276321.5625,7167487.5,627406.5,21352026.0,5112904.0,746762.1875,2166560.25,822045.25,6923674.0,13908017.0,1506431.25,55085132.0,12135726.0,17902228.0,487824.21875,1497316.125,29617606.0,1921368.875,407019.53125,1169622.625,719065.3125,1377957.875,1290857.75,6581646.5,13432777.0,643788.6875,4657780.0,4700969.5,2205716.5,9326678.0,5301871.0
min,-8062894.0,19925882880.0,-8663859.0,-5118361.5,-5548277.5,-813957.125,-6658703.0,-19840552.0,-7664107.5,-14125793.0,-3726377.0,-2985164.75,-4186439.5,-811335.6875,-13377208.0,-2645688.25,-1707868.125,-5432934.5,-10880755.0,-9952788.0,-4542955.5,-11991777.0,-9631170.0,-4874240.0,-7138181.0,-10075259.0,-16994140.0,-8012431.0,-12497060.0,-13455524.0,-2557214.75,-9670006.0,-33752348.0,-20378582.0,-19172064.0,-7980318.5,-8270315.5,-170078576.0,-17603624.0,-34369700.0,-14982512.0,-4718919.5,-985661.4375,-10298327.0,-4641259.5,-19814972.0,-8881602.0,-10335355.0,-21707162.0,-5859901.5,-50554140.0,-15319367.0,-9060352.0,-26037452.0,-10166927.0,-2872115.25,-1394606.0,-11487273.0,-9953280.0,-2958950.25,-14854389.0,-17059512.0,-5426380.5,-22850498.0,-15069757.0,-4387307.5,-10651238.0,-26446396.0,-51064340.0,-4060282.75,-75257608.0,-9029222.0,-224200704.0,-53552084.0,-8689090.0,-21730426.0,-8672379.0,-72654968.0,-3002859.5,-17227776.0,-11288903.0,-24087798.0,-187945776.0,-7144734.5,-15414067.0,-2862612.5,-18389402.0,-4588175.5,-12097618.0,-10400071.0,-14446756.0,-17018440.0,-68918968.0,-141047728.0,-9121956.0,-42845468.0,-49119560.0,-22520136.0,-12926320.0,-55410276.0
25%,-142704.640625,169635295232.0,-1231790.0625,-1077248.0,-1187512.34375,-169902.078125,-1404651.5,-1046118.359375,-1672683.4375,-1093918.75,-813137.90625,-197304.3203125,-877035.5,-171704.3125,-223313.921875,-474664.9453125,-359956.46875,-526581.75,-39362.5625,-791736.296875,-614645.734375,-2614558.75,-412098.5546875,-290734.078125,-56074.2490234375,-479191.03125,-2278154.125,-398172.1484375,-577208.3125,-2921287.5625,-531374.078125,677887.4375,-7324057.375,-4463661.875,-4164771.75,-1680916.5,-316415.9921875,-36407651.0,-3851345.75,-7454965.625,-1315102.75,-385679.34375,-210370.5625,-2223308.75,-991887.3125,-4321423.125,-490864.625,-2175426.5,-4750684.125,-706355.203125,-10884105.75,-894566.375,-776028.125,-5709629.125,-343490.5625,-172195.84375,-302120.96875,-2420408.25,-2094530.5,-557588.46875,-3264143.25,-3677962.25,-1144176.65625,-5024087.0,-1739253.75,-897392.640625,-919511.015625,-5728788.25,-10993950.5,-157941.765625,-16134471.0,-712949.734375,-48063888.0,-11542896.0,-1424015.375,-4745011.25,-1662934.96875,-15629468.75,-632463.34375,-2912419.8125,-2376908.75,-5135820.625,-40223949.0,-255918.078125,-3347988.4375,-598016.0,-4053155.75,-795279.328125,-2385346.5625,-780718.078125,-3112222.75,-2077731.75,-14859305.0,-30230358.0,-822784.0,-9160622.0,-10602178.0,-4895088.375,-2753945.625,-11959828.0
50%,-98549.765625,261574901760.0,-900628.4375,-811335.6875,-895139.8125,-127795.2109375,-1058590.75,-735892.46875,-1248747.4375,-783073.25,-611287.03125,-139755.53125,-661463.0,-129761.2890625,-153845.765625,-350289.90625,-270745.59375,-380436.46875,-26992.64453125,-567582.6875,-449085.4375,-1963622.375,-286883.84375,-205455.359375,-38666.25,-335953.90625,-1663795.125,-279183.34375,-404357.125,-2196029.375,-397967.34375,1171455.375,-5506662.5,-3348193.25,-3135733.75,-1266216.9375,-219545.59375,-27464268.0,-2889789.375,-5601525.5,-944066.53125,-276234.21875,-158269.453125,-1673543.6875,-746946.5625,-3247114.125,-346357.75,-1637785.625,-3563929.5,-514498.546875,-8199639.0,-631767.0,-556687.34375,-4278190.0,-237731.8359375,-121569.2890625,-227082.234375,-1824419.8125,-1575731.125,-413204.46875,-2441379.75,-2771363.875,-862126.0625,-3757171.125,-1265141.75,-668631.03125,-660357.125,-4307271.5,-8282357.75,-109772.8046875,-12180602.5,-511016.9375,-36272204.0,-8698102.0,-1047183.34375,-3565076.375,-1236664.25,-11770209.0,-476364.796875,-2143436.75,-1789788.125,-3864550.25,-30323077.0,-177438.71875,-2516254.75,-449413.125,-3026288.5,-586547.1875,-1776680.875,-558735.34375,-2343075.75,-1513269.75,-11196252.0,-22805729.0,-591790.0625,-6898933.75,-7982955.25,-3684515.75,-2072862.625,-9005138.0
75%,-64471.046875,346953285632.0,-591626.25,-508231.65625,-580423.640625,-77824.0078125,-669583.359375,-478791.65625,-817679.359375,-510248.9375,-400056.3203125,-91422.7265625,-410664.9375,-82575.3671875,-100352.0078125,-229376.0,-169308.16015625,-248627.1875,-17387.525390625,-370216.9453125,-294809.5859375,-1285038.03125,-186941.4375,-134021.125,-25395.208984375,-218214.390625,-1091174.375,-182108.15625,-263454.71875,-1439672.28125,-240414.7109375,1589247.375,-3610214.25,-2189405.3125,-2052318.6875,-793456.625,-142950.40625,-17810790.0,-1889239.0,-3675176.8125,-615649.25,-180367.36328125,-101826.5703125,-1097236.5,-480624.625,-2123356.0,-225853.43359375,-1025264.625,-2330664.9375,-337285.1171875,-5369497.5,-411402.234375,-362864.6328125,-2799288.25,-154265.6015625,-79380.484375,-149094.40625,-1148558.03125,-985538.5625,-270581.75,-1597112.25,-1814041.5625,-540733.453125,-2460376.3125,-828866.53125,-438333.4296875,-430448.625,-2826792.9375,-5422141.25,-71598.0859375,-7912345.5,-333414.3828125,-23561988.5,-5691985.875,-684441.5625,-2330541.9375,-809041.875,-7677207.0,-298270.71875,-1400637.40625,-1120440.3125,-2474551.0,-19654062.0,-115732.48828125,-1650196.5,-275476.484375,-1981030.375,-383713.28125,-1162649.5625,-364677.1015625,-1534853.125,-991039.328125,-7325654.875,-14791489.0,-386129.9140625,-4453647.25,-5232053.5,-2411970.5,-1323991.03125,-5902056.875
max,-7198.72900390625,1620789821440.0,-66662.40625,432148480.0,-68198.40625,175972352.0,433214720.0,-53642.25,-93314.5703125,-57267.20703125,-45854.73046875,-10188.8095703125,504748032.0,44654592.0,-11212.8076171875,-26040.330078125,183148544.0,-27893.76953125,601087.5,-41523.20703125,-33187.84765625,-147435.53125,-20889.607421875,-14950.408203125,-2805.769287109375,-24481.28515625,-122941.4453125,-20346.888671875,-29480.96875,-165427.203125,681738240.0,7208959.5,-414945.28125,-250608.640625,-235720.953125,622201856.0,-15953.9287109375,-2090932.375,-216458.234375,-422594.5625,-69102.0859375,-20244.490234375,38404096.0,-126607.3671875,33697792.0,-243604.46875,-25272.326171875,919224320.0,-266931.1875,-37918.73046875,-621524.4375,-46049.2890625,-40734.73046875,-320156.15625,-17318.40234375,-8867.849609375,-17162.25,851627264.0,969544704.0,-30730.24609375,-182671.359375,-209738.234375,437231616.0,-280977.28125,-93204.484375,-49848.328125,-48332.80859375,-325191.6875,-627783.6875,-7987.2080078125,-925224.9375,-37345.28515625,-2756321.75,-658350.0625,-77568.0078125,-267202.5625,-92057.609375,-893228.4375,261787648.0,-158935.046875,973713408.0,376380800.0,-2226836.5,-12933.1298828125,-189521.921875,500154368.0,-226129.921875,-43540.48828125,-132331.53125,-40821.76953125,-177592.3125,-111557.4453125,-847319.0,-1734032.625,-43325.44921875,128894976.0,-603893.75,-276930.5625,286898176.0,-681217.25
