,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
count,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0,6784.0
mean,-60996329.430350825,275830726957.5472,-22003126.71293927,-23594635.96704009,-3944275.248791274,-252546822.24410376,-15428985.234321197,-745286927.0784198,-288592988.2865566,-137115447.85819575,-524241112.9118514,-16489013.108105836,-595246520.3381486,-210053911.1126179,-77895416.81920695,-352075840.0227005,-105310807.84205483,-530644562.1975236,-189625407.4943986,-49127118.34596109,-195381666.5592571,-518850119.3089623,-185198460.17290685,-240925435.589033,-378399295.8487618,-157271471.74911556,-278162551.8254717,-444908482.0793042,-380939525.3399175,-461748593.3965212,-20470540.402048938,-186185831.5420106,-64858367.84058078,-374858828.3057193,-454337406.5589623,-289074707.2455778,-2766799.901298791,-48043150.06412146,-71315979.64946935,-573929875.057783,-370240084.8894458,-172664824.17629716,-172417995.5436321,-50444756.67498527,-129833270.8567217,-11363276.084554834,-390599945.4053656,-300605884.2402712,-429834270.1816038,-208377754.839033,-80829734.65315448,-457485222.521816,-55453465.295489386,938426.219197376,-218610553.95902124,-317032884.4534198,-46862249.688296,-413095793.5333137,-264751584.1435731,-48695834.28744104,-119368265.21300118,-68765573.10723762,-153218579.7345224,-117744497.74852595,265179972.06902447,-190508808.2600236,-108078301.78589328,-62676979.21771816,-71620732.75456958,-110850374.39445755,-604655487.6880896,-114744003.94199587,-482703702.4009434,-161299982.34242335,-454404281.5627948,-182703064.1928066,-350291505.8814858,-92893944.73294517,-176216396.40757665,-412233813.3416863,-222040610.50884435,-123241172.00574882,-64041959.01975236,-606032786.8767688,-43208191.859316036,-225485425.98525944,-21082106.904363208,-503284192.1087854,-572607403.0498232,-101798494.9713296,-12895456.297496755,-197260501.64932194,-432162046.0993514,-341683832.7385024,-429985142.7724057,-322440243.7016509,-553217276.1939858,-550650419.4746462,-91197047.13576062,-341997536.8817807
std,33946980.073023096,154168944721.9514,12368484.295666873,13125434.799698496,2194716.1374546033,141162822.09457448,15637197.851505145,416433783.2432816,161353961.2561323,76653936.02546698,293056524.80448335,24510543.830010172,332611093.7591701,117424128.91581406,43537106.75728102,196849258.87414837,58728306.97734675,296704218.4162381,105748266.63285746,27431457.74928999,109155101.1367134,290066379.7880881,103507206.40293798,134511583.84208825,211336970.37104863,88018192.59968536,155429506.84086895,248640491.2225418,212877986.7977869,258182582.77621797,11482670.437229404,103942942.65026882,36216399.20438338,209401037.5076971,254017359.6171321,161590897.1174519,32098067.66603124,26926621.42342508,39951194.32002534,320836779.95163894,206747210.32770464,96411466.03714395,96413089.25167488,28311620.84497626,72550116.98978636,6324326.6238234695,218398180.9417655,168078806.9745161,240390214.60111862,116422033.0684082,45234429.65301401,255635866.81143644,30995977.572699707,131222855.66493411,122143939.37962048,177201845.656197,26310024.378190536,230858972.41442746,148005172.26598078,27267402.814277455,66485085.39428578,38294925.521999426,85609775.82713987,65719617.352120325,152933006.43642005,106499584.75953043,60192263.177114554,34873332.74201505,39984356.321007594,62045130.83536707,337960166.17325926,64003848.58920025,269427407.52784204,90057624.3148015,253902987.32159433,102067589.21422789,195528188.9266169,52104386.19847019,98333793.65400895,230226794.14857325,124188738.68172215,68895538.3372315,35675300.6094692,338492009.5637136,24120059.341493797,126279717.19208829,11727494.575664023,281177302.1598257,320072167.2339016,56756605.23710521,7330493.459527171,109939012.12514369,241533968.08883795,191266195.88419828,240045753.34747458,180194898.03116095,309161558.94209075,307699592.8409628,50830268.60029038,191143586.60493115
min,-355878660.0,19900723000.0,-129687180.0,-137419180.0,-23023206.0,-1482166800.0,-94376630.0,-4372581400.0,-1694140900.0,-804853760.0,-3076992300.0,-103563670.0,-3492432600.0,-1232924300.0,-457152220.0,-2066783100.0,-616593340.0,-3115201300.0,-1110234800.0,-288068400.0,-1146126600.0,-3045567200.0,-1086826400.0,-1412418300.0,-2219107300.0,-923981060.0,-1631999700.0,-2610716700.0,-2235229000.0,-2710761500.0,-120488960.0,-1091441800.0,-380313150.0,-2198764800.0,-2667055400.0,-1696662400.0,-28635080.0,-282588160.0,-419298180.0,-3368668400.0,-2170913800.0,-1012343940.0,-1012283140.0,-296998880.0,-761810240.0,-65902344.0,-2293028600.0,-1764731400.0,-2523864300.0,-1222465400.0,-474881060.0,-2684202500.0,-325473400.0,-51188410.0,-1282536800.0,-1860601300.0,-275963740.0,-2424011500.0,-1554005000.0,-286237000.0,-697628160.0,-401780640.0,-898932860.0,-690087700.0,-8593866.0,-1118222300.0,-631553600.0,-365385660.0,-419871140.0,-651341630.0,-3548516000.0,-672017660.0,-2829012500.0,-945647600.0,-2666007300.0,-1071747500.0,-2053079800.0,-546673800.0,-1032506000.0,-2417444400.0,-1303862100.0,-723397900.0,-374397340.0,-3554244900.0,-253292740.0,-1325448100.0,-122514060.0,-2952407800.0,-3360673500.0,-595854600.0,-76207590.0,-1153997000.0,-2536087800.0,-2007761300.0,-2520540700.0,-1892050400.0,-3246182100.0,-3230858200.0,-533589470.0,-2006995300.0
25%,-76665135.0,169317142500.0,-27715928.5,-29625983.0,-4958029.875,-317279105.0,-20147568.0,-936013475.0,-362641560.0,-172290465.0,-658674175.0,-22096245.0,-747605112.5,-263925017.5,-97859960.0,-442415805.0,-132341115.0,-666806405.0,-238292787.5,-61740892.5,-245344910.0,-651947230.0,-232650762.5,-302751050.0,-475614825.0,-197588712.5,-349352902.5,-558861412.5,-478482652.5,-580227505.0,-25762002.0,-233982165.0,-81511199.5,-470820420.0,-570913677.5,-363194800.0,-6077966.125,-60425132.0,-89657427.0,-721111687.5,-465285625.0,-216972712.5,-216657120.0,-63499947.5,-163076275.0,-14273361.25,-490824625.0,-377736762.5,-540036702.5,-261685980.0,-101549410.0,-574592087.5,-69672192.0,-10813307.0,-274545415.0,-398288305.0,-59002550.0,-518894260.0,-332656975.0,-61205340.0,-150071400.0,-86495777.5,-192429465.0,-147940202.5,161060860.0,-239371627.5,-135961767.5,-78735730.5,-89989812.0,-139274530.0,-759610775.0,-144104590.0,-606480950.0,-202677890.0,-570696662.5,-229422800.0,-440137187.5,-116884862.5,-221347640.0,-518123865.0,-278990110.0,-154853747.5,-80518560.0,-761537060.0,-54296537.5,-283416700.0,-26443727.0,-632004872.5,-719400435.0,-127928457.5,-16282695.25,-247912480.0,-542885775.0,-429313920.0,-540351055.0,-405020405.0,-694891675.0,-691611355.0,-114598767.5,-429626095.0
50%,-57729340.0,261243485000.0,-20877378.0,-22319852.0,-3734760.9,-239203130.0,-15159880.0,-706237025.0,-273363690.0,-129869780.0,-496587700.0,-16626278.0,-563958930.0,-198978365.0,-73778605.0,-333492375.0,-99824730.0,-502663365.0,-179743980.0,-46559968.0,-185150060.0,-491427395.0,-175400070.0,-228412510.0,-358584590.0,-148998740.0,-263570135.0,-421412930.0,-360830125.0,-437403890.0,-19400689.0,-176543560.0,-61471712.0,-355197340.0,-430351230.0,-273819880.0,-4577968.5,-45526604.0,-67569480.0,-543660380.0,-350895920.0,-163684295.0,-163316290.0,-47821554.0,-122968713.0,-10725550.0,-369998940.0,-284753960.0,-407140610.0,-197481910.0,-76578010.0,-433445885.0,-52527320.0,-8148290.5,-207186220.0,-300277580.0,-44434533.0,-391275420.0,-250796810.0,-46136954.0,-113015228.0,-65139123.0,-145164100.0,-111682350.0,253550080.0,-180467050.0,-102363445.0,-59326760.0,-67893818.0,-105033480.0,-572685780.0,-108789282.0,-457891465.0,-152901245.0,-430557620.0,-173134370.0,-332264770.0,-88038285.0,-167146985.0,-390703185.0,-210334405.0,-116726260.0,-60652050.0,-574328750.0,-40964194.0,-213650750.0,-19914288.0,-476943940.0,-542370325.0,-96467180.0,-12252999.0,-186828945.0,-409292510.0,-323766180.0,-407744110.0,-305408165.0,-523987410.0,-521719950.0,-86386693.0,-323903750.0
75%,-37813104.5,346513540000.0,-13434600.5,-14620458.25,-2441859.75,-155032295.0,-9723509.75,-457918712.5,-177161700.0,-84166065.0,-321818127.5,-10652495.25,-365733132.5,-128930775.0,-47817381.0,-216130015.0,-64881142.0,-325766362.5,-116838556.0,-30203385.5,-120112760.0,-318484525.0,-113680355.0,-148281390.0,-232660750.0,-96580046.0,-170909090.0,-273247087.5,-233959517.5,-283472922.5,-12524198.0,-114659084.5,-39874999.0,-230450340.0,-278902285.0,-177468192.5,-2920866.875,-29472032.0,-43777084.0,-352299332.5,-227628490.0,-106267893.0,-105857654.5,-30871456.5,-79736601.5,-7039441.875,-239789192.5,-184543542.5,-263928600.0,-128030917.5,-49637354.5,-281094010.0,-34035808.5,-5164074.25,-134317870.0,-194615875.0,-28685011.5,-253708920.0,-162507192.5,-29884580.0,-73714907.5,-42482514.0,-94138115.0,-72538140.0,336181762.5,-116935971.0,-66733211.5,-38837474.0,-44083644.0,-68073997.5,-371169025.0,-70670770.0,-297478940.0,-99285443.0,-279193392.5,-112316102.5,-215807175.0,-56885333.0,-108571042.5,-253453992.5,-136349000.0,-75648047.5,-39560714.0,-372549712.5,-26605039.0,-138384220.0,-13062752.75,-309290115.0,-351521030.0,-62805833.0,-7869229.25,-121852152.5,-265274150.0,-209838690.0,-264795335.0,-198031897.5,-339769060.0,-338340620.0,-56299103.5,-209928902.5
max,-4374940.0,1618735500000.0,-514074.22,-1689318.6,-282988.78,-18221774.0,322165900.0,-53756308.0,-20827820.0,-9894867.0,-37828536.0,567498750.0,-42935830.0,-15157589.0,-5620211.5,-25409062.0,-7580206.0,-38298400.0,-13648924.0,-3541452.8,-14090418.0,-37442228.0,-13361437.0,-17364082.0,-27281502.0,-9762647.0,-20063750.0,-32096112.0,-27479798.0,-33326172.0,-829315.8,-13418034.0,-4675482.0,-27031452.0,-32788818.0,-20858748.0,664593660.0,-2310704.2,-3711010.5,-41414410.0,-26688942.0,-12445648.0,-12341254.0,-1815214.4,-9365630.0,-810076.1,-28190536.0,-21695636.0,-30123766.0,-15028905.0,-5081738.0,-32999464.0,-4001347.8,2282935000.0,-15767431.0,-22874202.0,-1536216.2,-29800722.0,-19104934.0,-2768354.5,-8576269.0,-4939314.0,-11051412.0,-8483793.0,1588920300.0,-13747461.0,-7764009.5,-4491748.0,-5161803.0,-6792271.0,-43625430.0,-8261596.5,-34779420.0,-11625638.0,-32775746.0,-13175975.0,-25240250.0,-3813390.8,-12693463.0,-29719840.0,-15346991.0,-8893433.0,-4602665.0,-43695604.0,-3113953.8,-12510145.0,-1506025.9,-36296760.0,-41316104.0,-7325250.5,59536896.0,-14186789.0,-31178588.0,-20575174.0,-30987176.0,-23260844.0,-39908504.0,-39720080.0,-6559739.5,-24673968.0
